# T0 = nan K
# gamma = nan
# gamma_err = nan
# n_pixels = 419067587
log_density,log_temperature
2.117805e-01,4.099220e+00
-2.718566e-01,3.702576e+00
3.034653e-01,4.086238e+00
2.510624e-01,3.992827e+00
5.240718e-01,4.131102e+00
-1.062003e-01,3.795565e+00
-3.283185e-01,3.672735e+00
4.432311e-02,3.902654e+00
5.123090e-01,4.132531e+00
-7.807509e-03,3.853827e+00
1.485627e-01,3.936276e+00
-2.567331e-01,3.711960e+00
1.251821e-01,3.924065e+00
-3.435890e-01,3.661336e+00
-4.368906e-01,3.610692e+00
-1.595117e-01,3.764669e+00
-1.355247e-01,3.781151e+00
-1.821341e-01,3.754286e+00
1.819738e-01,3.974006e+00
3.567603e-02,3.874850e+00
9.022647e-02,3.904109e+00
6.050534e-01,4.160472e+00
-2.451008e-01,3.713551e+00
1.515585e-01,3.935886e+00
2.386228e-01,3.989677e+00
5.069774e-02,3.882221e+00
-3.350726e-01,3.667260e+00
-5.964657e-02,3.821003e+00
-1.114955e-01,3.797283e+00
-4.653738e-01,3.593468e+00
-6.074061e-02,3.820733e+00
7.662052e-02,3.895670e+00
3.500475e-01,4.094230e+00
-1.581819e-01,3.767807e+00
7.670954e-02,3.902194e+00
-1.611012e-01,3.766781e+00
-4.355901e-02,3.832437e+00
-1.846193e-01,3.751250e+00
-3.676244e-01,3.649064e+00
1.135945e-02,3.859841e+00
-3.778895e-01,3.643608e+00
-2.776870e-01,3.698875e+00
2.330776e-02,3.865584e+00
4.935359e-02,3.881688e+00
-2.773128e-01,3.702970e+00
6.456197e-01,4.224108e+00
1.543205e-03,3.853773e+00
-1.747776e-01,3.757813e+00
3.750133e-01,4.055715e+00
1.471447e-01,3.935422e+00
-3.837809e-01,3.639351e+00
3.275372e-01,4.035297e+00
-3.083700e-01,3.683215e+00
6.652540e-02,3.892280e+00
7.954080e-02,3.898557e+00
-1.263999e-01,3.791643e+00
-2.977406e-01,3.687736e+00
4.880852e-01,4.106479e+00
-5.910140e-01,3.521631e+00
-1.701609e-02,3.861307e+00
-5.093681e-01,3.568391e+00
5.371504e-01,4.141959e+00
1.856514e-01,3.956545e+00
-6.642673e-02,3.819979e+00
-9.887822e-02,3.800866e+00
-3.325015e-01,3.668876e+00
6.473897e-02,3.888903e+00
2.340820e-01,3.980023e+00
5.646377e-02,3.888017e+00
-1.205257e-01,3.794467e+00
-1.212852e-01,3.786203e+00
1.705732e-01,3.946947e+00
-4.486530e-01,3.603139e+00
9.809283e-01,4.318573e+00
-2.754632e-01,3.701742e+00
9.792682e-01,4.360804e+00
-6.544111e-02,3.819285e+00
2.395670e-02,3.866463e+00
-2.140113e-01,3.733778e+00
5.208434e-01,4.148097e+00
7.425697e-02,3.904208e+00
1.237955e-01,3.923164e+00
6.668180e-01,4.955668e+00
1.189903e-01,3.920192e+00
-3.776360e-01,3.643502e+00
7.313111e-01,4.272951e+00
4.557036e-01,4.100382e+00
1.686607e-01,3.956615e+00
-2.890914e-01,3.692989e+00
4.584660e-02,3.883057e+00
1.687787e-01,3.955915e+00
6.110360e-01,4.255169e+00
-1.748090e-01,3.756269e+00
-1.910138e-01,3.748692e+00
-8.979096e-03,3.846678e+00
4.628204e-02,3.879925e+00
9.727793e-01,4.372140e+00
-2.174086e-01,3.734191e+00
-5.132678e-01,3.564198e+00
1.479747e-01,3.936733e+00
-1.950692e-01,3.744674e+00
-2.612233e-01,3.709349e+00
4.305839e-02,3.886160e+00
-3.514802e-01,3.656570e+00
-3.525674e-01,3.655702e+00
-2.459927e-01,3.717964e+00
4.231749e-02,3.877203e+00
1.626334e-01,3.944913e+00
4.008528e-02,3.875053e+00
7.587022e-01,4.400614e+00
4.248223e-01,4.081902e+00
-7.466304e-02,3.813035e+00
2.854381e-01,4.018481e+00
1.579826e-01,4.020730e+00
-1.614860e-01,3.765129e+00
3.394258e-01,4.044906e+00
2.466830e-01,4.011783e+00
2.692457e-01,4.006625e+00
3.393674e-01,4.063161e+00
-2.210947e-01,3.731272e+00
-3.516484e-02,3.833831e+00
1.096061e-01,3.914472e+00
4.227707e-02,3.876687e+00
1.812228e-01,3.956713e+00
-2.359405e-02,3.852137e+00
-7.234122e-02,3.817112e+00
5.945404e-02,3.887924e+00
-1.366019e-01,3.780973e+00
-2.940118e-01,3.688411e+00
-1.868006e-01,3.750932e+00
-4.757979e-01,3.587648e+00
2.879809e-01,4.012018e+00
-2.601475e-01,3.711272e+00
2.129630e-02,3.866952e+00
-2.354879e-01,3.723539e+00
1.940035e-01,3.960577e+00
3.165196e-01,4.022528e+00
3.503785e-02,3.874073e+00
2.077973e-01,3.972472e+00
-6.720619e-03,3.854379e+00
4.053566e-01,4.077779e+00
-4.645262e-02,3.829784e+00
-4.332486e-01,3.611207e+00
5.488347e-01,4.162465e+00
-4.302606e-01,3.613867e+00
1.255767e-02,3.867116e+00
9.403070e-02,3.910054e+00
1.603292e-01,3.948373e+00
1.246069e-01,3.922302e+00
8.773077e-01,4.266064e+00
-3.447731e-01,3.660725e+00
-2.263127e-01,3.728552e+00
-2.754700e-02,3.840143e+00
6.303049e-02,3.887961e+00
-5.441785e-01,3.548750e+00
1.818443e-01,3.958360e+00
-3.441671e-02,3.836542e+00
-2.272164e-01,3.728115e+00
8.825279e-02,3.902975e+00
-1.323307e-01,3.789518e+00
-3.474760e-01,3.660696e+00
9.256937e-03,3.859871e+00
1.125089e-01,3.917691e+00
1.380890e-02,3.862141e+00
-2.137776e-01,3.734191e+00
-1.714620e-01,3.757967e+00
2.690774e-01,4.008022e+00
-5.022675e-02,3.830810e+00
2.163583e-01,3.969109e+00
-1.893461e-01,3.749546e+00
-1.749164e-01,3.758085e+00
-3.207199e-01,3.675368e+00
1.214389e-01,3.924803e+00
3.801727e-02,3.875320e+00
1.003087e-01,3.909385e+00
-1.256571e-01,3.782634e+00
-3.306732e-01,3.669286e+00
-9.265683e-02,3.803801e+00
-4.224750e-01,3.618589e+00
2.219167e-01,3.977676e+00
5.513539e-01,4.146903e+00
2.848271e-01,4.044142e+00
1.536736e-01,3.950403e+00
4.931125e-01,4.114420e+00
-2.153666e-01,3.733176e+00
-5.450147e-02,3.826780e+00
4.919426e-01,4.126841e+00
4.959841e-02,3.880736e+00
9.073400e-02,3.927244e+00
-1.373228e-01,3.777274e+00
7.365805e-02,3.895047e+00
3.889430e-02,3.884857e+00
2.099683e-01,3.977481e+00
-1.029528e-01,3.795756e+00
-1.567828e-01,3.767638e+00
2.695017e-01,4.002502e+00
4.728676e-01,4.142524e+00
-1.534725e-01,3.784232e+00
3.865867e-02,3.875289e+00
8.561948e-02,3.920334e+00
-4.734655e-01,3.588765e+00
2.481657e-01,3.994081e+00
9.109747e-01,4.287801e+00
6.979855e-02,3.896333e+00
-5.376086e-01,3.552020e+00
1.530178e-01,4.165581e+00
-2.878715e-01,3.695218e+00
-2.656211e-01,3.706206e+00
-3.022006e-01,3.685379e+00
-1.689190e-01,3.760002e+00
-1.013226e-01,3.800427e+00
8.666389e-02,3.902915e+00
-3.685999e-01,3.648294e+00
6.838112e-02,3.892602e+00
4.894713e-02,3.879875e+00
-3.535526e-01,3.656968e+00
3.960556e-02,3.875538e+00
-3.078881e-01,3.683656e+00
-3.109722e-01,3.680855e+00
-1.647742e-01,3.763543e+00
-9.234643e-02,3.802555e+00
-4.295082e-01,3.612685e+00
4.023589e-02,3.878871e+00
1.957652e-01,3.963233e+00
-1.509038e-01,3.771022e+00
-2.612061e-01,3.709412e+00
-1.486861e-01,3.770713e+00
-3.078349e-01,3.681705e+00
-3.423311e-01,3.663815e+00
-1.254330e-01,3.783877e+00
3.263618e-02,3.872383e+00
4.106618e-01,4.080217e+00
7.897706e-01,4.250079e+00
2.354764e-02,3.867838e+00
-1.882978e-01,3.750045e+00
6.793655e-01,4.212182e+00
1.058476e+00,4.309528e+00
-9.611187e-02,3.879274e+00
-1.106618e-01,3.792370e+00
-2.295586e-01,3.734508e+00
2.322598e-01,3.999769e+00
5.174558e-01,4.153704e+00
-3.211128e-01,3.674790e+00
-2.855316e-01,3.697414e+00
2.737454e-01,4.006389e+00
1.758321e-02,3.868556e+00
2.717804e-01,4.058391e+00
-1.057030e-01,3.797666e+00
-4.285668e-01,3.613573e+00
-1.113070e-01,3.792499e+00
-2.488805e-01,3.715174e+00
1.295932e-01,3.930106e+00
-3.708374e-01,3.646737e+00
-1.065657e-01,3.795702e+00
6.218284e-02,3.894088e+00
2.092182e-01,3.966873e+00
-2.426196e-01,3.719723e+00
-2.101895e-01,3.737410e+00
1.333340e-01,3.931291e+00
1.783318e-01,3.951249e+00
2.707181e-01,4.018964e+00
-1.229619e-01,3.785527e+00
6.178279e-02,3.888918e+00
-9.199942e-04,3.851653e+00
-1.717439e-01,3.759999e+00
-1.050206e-01,3.796191e+00
9.562955e-02,3.908988e+00
1.742159e-02,3.868610e+00
9.963068e-02,3.910041e+00
-1.564855e-01,3.767208e+00
-1.567775e-01,3.768570e+00
3.241687e-01,4.023406e+00
6.163099e-02,3.886656e+00
2.362818e-01,3.988731e+00
-1.832961e-01,3.753152e+00
-1.129730e-01,3.789205e+00
-2.286255e-01,3.727643e+00
1.527224e-01,3.938104e+00
-2.705137e-01,3.704869e+00
-8.400857e-02,3.805611e+00
-1.166282e-01,3.790913e+00
-5.391150e-01,3.553764e+00
-1.193574e-01,3.791594e+00
-3.860248e-01,3.638409e+00
1.327441e-01,3.929128e+00
2.445532e-01,3.988161e+00
-2.822941e-01,3.696746e+00
-3.452533e-01,3.659862e+00
9.267819e-02,3.908105e+00
3.527744e-01,4.044456e+00
-3.037017e-01,3.684808e+00
-6.849190e-02,3.818309e+00
-2.197069e-01,3.732009e+00
5.393847e-02,3.884556e+00
-2.615029e-01,3.710744e+00
2.426631e-02,3.868681e+00
-4.934554e-02,3.826550e+00
2.320069e-01,3.982987e+00
-7.565308e-02,3.812661e+00
3.140902e-01,4.033784e+00
1.491110e-01,3.935488e+00
