# T0 = 15350.841705469236 K
# gamma = 1.0630677627786609
# gamma_err = nan
# n_pixels = 110253851
log_density,log_temperature
-1.287694e-01,3.765806e+00
1.187125e+00,4.487120e+00
8.047370e-03,3.851288e+00
-4.170833e-01,3.607205e+00
4.641667e-01,4.591996e+00
3.985233e-01,4.065127e+00
3.010567e-01,4.173955e+00
2.576104e-01,3.986185e+00
-1.580921e-01,3.810591e+00
5.341010e-01,4.281284e+00
5.887096e-01,4.170274e+00
1.596075e+00,5.401450e+00
-8.117173e-02,3.796382e+00
-1.468014e-01,3.761745e+00
-1.074067e-01,3.782884e+00
-3.543760e-01,3.650671e+00
-6.722100e-02,4.267192e+00
2.140709e-01,3.964401e+00
-3.718181e-01,3.637559e+00
-4.183644e-01,3.644655e+00
2.180462e-01,3.971827e+00
-4.037386e-01,3.611739e+00
7.359617e-01,4.251112e+00
5.155634e-01,5.449420e+00
-2.724909e-01,3.684092e+00
1.374059e-02,3.853475e+00
1.313601e-02,3.848305e+00
-4.359541e-01,3.597378e+00
-2.358858e-01,3.707218e+00
-4.684474e-01,3.582332e+00
-2.030368e-01,3.752553e+00
-9.696088e-02,3.794379e+00
-4.683438e-01,3.568978e+00
-3.406769e-02,3.818694e+00
-4.594923e-01,3.593286e+00
-2.659491e-01,3.697506e+00
-8.368327e-02,3.792924e+00
1.404911e+00,6.635491e+00
-1.268202e-01,3.769745e+00
4.861590e-01,4.130590e+00
1.791420e-01,3.943162e+00
-2.996552e-02,3.827589e+00
1.359320e-01,4.640801e+00
-1.980235e-01,3.730980e+00
1.347851e+00,4.611635e+00
-2.040756e-01,3.725583e+00
6.072855e-01,4.224805e+00
7.332126e-01,5.211161e+00
-1.643088e-01,3.756635e+00
-1.477776e-01,3.757662e+00
3.303377e-02,3.878238e+00
1.208783e-01,3.907693e+00
1.312860e+00,4.843836e+00
-4.424335e-01,3.882647e+00
2.826030e-01,4.004707e+00
2.210455e-02,3.895060e+00
-5.651388e-01,3.523568e+00
1.350164e+00,5.806705e+00
3.596759e-02,4.273584e+00
6.853068e-01,4.999236e+00
-1.902010e-01,3.736840e+00
3.128547e-02,3.859699e+00
-1.335045e-01,3.775296e+00
-2.256853e-01,3.719971e+00
-4.023682e-01,3.611927e+00
1.902741e-01,4.111246e+00
7.213854e-01,4.410962e+00
1.290426e+00,4.750542e+00
-6.873178e-01,3.450596e+00
2.731184e-01,4.015009e+00
-4.589613e-01,3.582151e+00
-4.116574e-01,3.607737e+00
-2.340927e-01,3.715833e+00
6.005771e-01,4.203003e+00
-3.684328e-02,3.833848e+00
2.605788e-01,4.754970e+00
2.954819e-01,4.016888e+00
-5.732836e-02,4.157109e+00
-8.247109e-03,3.987629e+00
-5.783528e-02,3.810045e+00
1.155126e+00,4.586373e+00
-8.618037e-02,4.304060e+00
-4.501930e-01,3.588401e+00
-8.161358e-02,4.611751e+00
5.039205e-01,4.123681e+00
9.443257e-01,4.381015e+00
-4.277628e-01,3.683894e+00
-8.036081e-01,3.387979e+00
-7.700519e-02,3.798795e+00
3.800333e-01,4.081627e+00
1.289110e-01,5.704873e+00
-5.619027e-01,3.518802e+00
-1.108055e-01,3.784176e+00
7.520209e-01,4.554738e+00
9.083895e-01,4.436492e+00
-8.792732e-02,3.804020e+00
5.170681e-01,4.184499e+00
-1.676901e-01,3.786227e+00
-3.355018e-01,3.651713e+00
5.255942e-01,4.386554e+00
1.261432e+00,4.601623e+00
-3.720211e-02,3.829912e+00
1.097866e+00,4.534798e+00
1.984290e-01,3.959133e+00
-4.775530e-01,3.580552e+00
-4.548703e-01,3.598774e+00
-1.618776e-01,3.797742e+00
-2.707138e-01,3.687404e+00
-2.924811e-01,3.679510e+00
-3.753713e-01,3.646854e+00
-2.317173e-01,3.718056e+00
-6.238431e-01,3.509559e+00
-3.678641e-01,3.648639e+00
-3.631581e-01,3.642476e+00
2.326245e-01,3.970538e+00
-2.862417e-01,3.688987e+00
2.486407e-01,4.078175e+00
-2.360288e-01,3.706634e+00
-3.118162e-02,3.835181e+00
-2.828314e-01,3.683396e+00
-3.497964e-01,3.728811e+00
-3.961179e-01,3.629959e+00
-5.186786e-01,3.545746e+00
3.337397e-01,5.316845e+00
1.324943e+00,4.654643e+00
-1.001388e-01,3.877239e+00
-3.800110e-01,3.669422e+00
1.090213e+00,4.645069e+00
-5.600912e-01,3.523647e+00
1.062314e+00,5.817078e+00
-3.304985e-01,3.655413e+00
1.975007e-02,3.857913e+00
-5.744612e-01,3.516673e+00
1.060129e-01,4.050424e+00
3.899317e-01,4.060181e+00
-1.768447e-01,3.740963e+00
1.223611e+00,4.891622e+00
-3.881362e-01,3.643301e+00
7.496976e-02,4.016397e+00
1.939147e-01,3.949851e+00
5.477836e-01,4.147277e+00
-6.791480e-01,3.454768e+00
8.815111e-01,4.451901e+00
-8.003354e-02,3.797005e+00
2.616159e-01,3.993801e+00
-1.132266e-02,3.835377e+00
7.065381e-02,3.888496e+00
-4.299313e-01,3.597402e+00
-1.517865e-01,3.753711e+00
5.617714e-01,4.168910e+00
1.097091e+00,5.545218e+00
1.106530e+00,4.446464e+00
-6.921551e-01,3.484261e+00
-1.048676e-02,3.841167e+00
4.724564e-01,4.343226e+00
7.342769e-01,5.647772e+00
6.037584e-02,4.212502e+00
3.003378e-01,4.016663e+00
-7.727980e-02,3.801642e+00
-5.812941e-01,3.527038e+00
1.211758e-02,3.843026e+00
-3.232345e-01,4.147758e+00
-5.383858e-01,3.532066e+00
1.887784e-01,3.953041e+00
4.365015e-01,4.132450e+00
2.059448e-01,5.505617e+00
-4.927956e-01,3.562811e+00
1.031928e-01,4.346853e+00
9.891921e-01,4.560256e+00
-2.952903e-01,3.679252e+00
4.940313e-01,4.143684e+00
2.459496e-01,3.992147e+00
2.302052e-01,4.656072e+00
-1.991806e-01,3.726878e+00
5.597470e-01,4.155594e+00
4.086091e-01,4.084912e+00
4.906167e-01,4.180864e+00
3.871003e-01,4.692322e+00
1.789529e-01,3.949708e+00
-1.944612e-02,3.827932e+00
1.195520e-01,3.906577e+00
-4.874200e-01,3.564495e+00
-3.657181e-01,3.632572e+00
2.195959e-01,3.973892e+00
7.635751e-02,3.886084e+00
