N_HI,b_param_km_s
1.333685e+12,4.829373e+01
1.570336e+12,5.879347e+01
1.527193e+12,4.380149e+01
2.107599e+17,3.091900e+01
2.107599e+17,3.091902e+01
2.107599e+17,3.453144e+01
1.555555e+12,2.831065e+01
1.669668e+12,2.683706e+01
1.207766e+12,5.040407e+01
1.251172e+16,1.711162e+01
1.439020e+17,1.561326e+01
2.351139e+12,3.455330e+01
2.351139e+12,3.123569e+01
2.250519e+12,3.384872e+01
7.921488e+18,4.866032e+01
7.921488e+18,1.804509e+01
7.921488e+18,3.675061e+01
7.921488e+18,3.377993e+01
5.420636e+14,2.081416e+01
1.095595e+12,3.276790e+01
1.083906e+12,4.795886e+01
9.571562e+17,2.257300e+01
9.571562e+17,3.045567e+01
2.517803e+12,2.833918e+01
1.397817e+12,4.780594e+01
6.244242e+12,3.811214e+01
1.412957e+13,3.451583e+01
1.251615e+12,3.208233e+01
3.507112e+12,4.020814e+01
1.042728e+12,2.989705e+01
3.909030e+12,2.194918e+01
1.005239e+12,2.271280e+01
1.487912e+12,7.095384e+01
8.674384e+12,3.886661e+01
8.674384e+12,3.886693e+01
4.550678e+12,7.000744e+01
4.550678e+12,7.000600e+01
2.295580e+12,2.932105e+01
3.679392e+12,2.726136e+01
3.679392e+12,2.726129e+01
1.612714e+12,3.741162e+01
2.906385e+12,4.515801e+01
2.906385e+12,4.515742e+01
6.092234e+12,3.519785e+01
2.144118e+14,2.267032e+01
2.144118e+14,2.267032e+01
1.442271e+12,2.779411e+01
1.763447e+12,2.850990e+01
2.101152e+12,4.502633e+01
4.554007e+15,3.090724e+01
4.692798e+13,2.816168e+01
1.042675e+13,5.676505e+01
1.400600e+12,7.962540e+01
1.400600e+12,7.962667e+01
3.399733e+12,3.340796e+01
1.126992e+18,1.332289e+01
2.144335e+15,1.930875e+01
3.252027e+12,3.283243e+01
1.324759e+12,7.386825e+01
1.476488e+12,2.877895e+01
8.989492e+17,2.986806e+01
8.989492e+17,2.986801e+01
1.164358e+14,3.103902e+01
1.164358e+14,3.103898e+01
1.018040e+12,2.902728e+01
1.793394e+12,2.642644e+01
4.127377e+17,2.488940e+01
3.380546e+12,3.625301e+01
1.214583e+12,2.920252e+01
1.018527e+12,3.772074e+01
6.407007e+13,3.068394e+01
6.407007e+13,2.866609e+01
2.698211e+12,2.653426e+01
1.143459e+12,2.247401e+01
1.250551e+13,5.187957e+01
1.024252e+18,1.276200e+01
1.024252e+18,2.760865e+01
1.148987e+13,2.979307e+01
7.153531e+12,2.861673e+01
1.163349e+12,2.550321e+01
1.252682e+13,2.883142e+01
1.221107e+15,2.159450e+01
2.720389e+14,2.380477e+01
1.630925e+12,2.942292e+01
1.305760e+12,7.572552e+01
1.481203e+12,2.601190e+01
3.316343e+12,3.192774e+01
3.316343e+12,3.192783e+01
1.426630e+12,5.631737e+01
1.974467e+12,3.469049e+01
2.965347e+14,2.189797e+01
2.806056e+12,2.895198e+01
1.174582e+12,2.968999e+01
1.371055e+12,3.098140e+01
1.002673e+12,2.993078e+01
3.832304e+15,2.472783e+01
1.179700e+12,3.005695e+01
1.622742e+12,5.936919e+01
1.622742e+12,5.936909e+01
1.442988e+13,3.733739e+01
1.466697e+12,2.775849e+01
2.247375e+12,2.319565e+01
1.315009e+16,3.388485e+01
5.010297e+12,3.877541e+01
1.175946e+12,5.269425e+01
2.224735e+13,4.215976e+01
2.224735e+13,4.215673e+01
2.224735e+13,4.215952e+01
2.482982e+12,3.757341e+01
1.188049e+12,3.246308e+01
1.400372e+12,2.874979e+01
2.276771e+14,2.784954e+01
1.982134e+12,4.281012e+01
5.415566e+13,3.000720e+01
1.119890e+18,1.699354e+01
1.119890e+18,1.699377e+01
1.884650e+12,7.618672e+01
1.884650e+12,7.618672e+01
1.315429e+12,2.319374e+01
3.102783e+12,2.912796e+01
2.867579e+12,2.738769e+01
2.061064e+12,3.764796e+01
2.095960e+12,2.944908e+01
1.982965e+13,3.608087e+01
1.316290e+12,2.471377e+01
4.955307e+13,2.724104e+01
1.465246e+12,2.625062e+01
3.010019e+12,2.830117e+01
1.296038e+12,2.418043e+01
6.791503e+12,3.214351e+01
5.500298e+12,5.466370e+01
1.445221e+13,2.367767e+01
1.053879e+13,3.742114e+01
1.165819e+12,2.520937e+01
1.365037e+12,5.910252e+01
3.343874e+12,5.081199e+01
1.153691e+12,5.881490e+01
2.559512e+14,3.439327e+01
2.846181e+12,6.920958e+01
2.846181e+12,6.921269e+01
3.743096e+12,5.966845e+01
2.355610e+14,2.679804e+01
2.453239e+12,3.507006e+01
2.869556e+12,3.102758e+01
1.374477e+12,3.470685e+01
1.843641e+12,3.497764e+01
4.903401e+12,2.615727e+01
1.488910e+12,6.805845e+01
4.175816e+15,4.001261e+01
4.175816e+15,4.001269e+01
2.615130e+12,2.497015e+01
6.948181e+12,2.773219e+01
1.729437e+13,5.315898e+01
1.282840e+12,3.550505e+01
2.752134e+13,3.428324e+01
1.520006e+12,3.570518e+01
1.754026e+12,2.646391e+01
5.505178e+13,5.212621e+01
1.983506e+14,2.275203e+01
1.426788e+12,2.183073e+01
6.499324e+14,2.665761e+01
2.515421e+12,2.740644e+01
2.170980e+18,1.834810e+01
2.170980e+18,3.885367e+01
2.287229e+12,2.962161e+01
2.723649e+12,5.506948e+01
1.149609e+12,3.912724e+01
2.170892e+12,2.537424e+01
1.718950e+12,3.950876e+01
3.042427e+18,3.638604e+01
3.042427e+18,2.945585e+01
1.081175e+18,1.374732e+01
2.664499e+12,4.790428e+01
3.252447e+12,2.466328e+01
1.486057e+12,4.574058e+01
1.110293e+12,4.053912e+01
1.174542e+12,5.941993e+01
8.698380e+12,2.665958e+01
9.787834e+12,2.269189e+01
1.231043e+12,3.227721e+01
1.083521e+12,2.865149e+01
1.653119e+12,4.176777e+01
1.901113e+12,3.051960e+01
3.451467e+12,3.904585e+01
3.451467e+12,4.202221e+01
1.909466e+12,2.645968e+01
4.905093e+15,2.252568e+01
2.404571e+16,1.964425e+01
1.416202e+12,2.677547e+01
1.416202e+12,2.677666e+01
1.416202e+12,2.677666e+01
1.853693e+12,2.581359e+01
5.927620e+12,7.213234e+01
6.458502e+13,2.862594e+01
2.213046e+12,3.013552e+01
1.060338e+13,4.237101e+01
2.636671e+13,4.153239e+01
2.068891e+19,3.837022e+01
2.068891e+19,3.762569e+01
2.068891e+19,3.871912e+01
2.068891e+19,3.355799e+01
2.068891e+19,3.355812e+01
6.626012e+13,3.271261e+01
6.626012e+13,3.271260e+01
4.899001e+14,3.628819e+01
1.649764e+12,3.224628e+01
9.028199e+13,3.550770e+01
1.287763e+12,4.524071e+01
2.152670e+12,3.611386e+01
1.714193e+14,2.601444e+01
8.561281e+12,3.348578e+01
1.441255e+12,2.775442e+01
2.677553e+18,6.936774e+00
2.677553e+18,6.936731e+00
2.677553e+18,6.416017e+01
1.065428e+12,2.679135e+01
2.766271e+12,3.709189e+01
6.600562e+14,2.538076e+01
8.792737e+12,7.088920e+01
1.586358e+12,3.728725e+01
1.566618e+12,2.374279e+01
1.315125e+12,3.798462e+01
1.058367e+12,6.719079e+01
6.251583e+12,2.385834e+01
6.251583e+12,3.315392e+01
1.145363e+12,7.783503e+01
1.292176e+18,1.504693e+01
1.371190e+12,3.150094e+01
5.728435e+12,3.219520e+01
1.209522e+12,4.132229e+01
2.826226e+16,2.174833e+01
1.268284e+12,2.500488e+01
2.695326e+12,3.219623e+01
3.609197e+12,6.077109e+01
1.196219e+12,3.972150e+01
2.074133e+12,4.280733e+01
2.074133e+12,4.280711e+01
1.016368e+12,2.430307e+01
1.519259e+12,4.179758e+01
5.221878e+13,2.677474e+01
1.614619e+12,5.321306e+01
5.519751e+12,2.916209e+01
1.292931e+12,3.591422e+01
1.086026e+12,2.703080e+01
4.185095e+19,3.733449e+01
4.185095e+19,3.954816e+01
4.185095e+19,3.405874e+01
4.185095e+19,3.405972e+01
1.074902e+12,2.609378e+01
2.499582e+13,2.998308e+01
3.158079e+12,3.926593e+01
3.479795e+14,2.000571e+01
1.034052e+12,1.990798e+01
2.544614e+12,4.964910e+01
1.715169e+12,3.024771e+01
1.783784e+12,3.955766e+01
2.913975e+13,2.402648e+01
1.434340e+20,3.818844e+01
1.434340e+20,3.651533e+01
1.434340e+20,1.644806e+01
1.006065e+12,6.701437e+01
1.006065e+12,6.701399e+01
1.134661e+12,2.553776e+01
2.424310e+12,2.999944e+01
2.424310e+12,4.504687e+01
5.141056e+12,4.741541e+01
1.968244e+12,3.546607e+01
1.221029e+12,5.861323e+01
1.262661e+13,3.670335e+01
1.890913e+12,4.450818e+01
1.855760e+13,3.950265e+01
1.383681e+12,2.359979e+01
2.636820e+12,3.154756e+01
1.146658e+12,2.655857e+01
