# n_sightlines = 10000
# dX = 37.252272 Mpc (comoving)
# redshift = 5.977617
# n_absorbers = 10000
# f_N_HI units: [Mpc^-1] (comoving)
#
log10_N_HI,f_N_HI,counts,delta_log_N,bin_center
1.211141e+01,0.000000e+00,0,2.000000e-01,1.292447e+12
1.231141e+01,0.000000e+00,0,2.000000e-01,2.048390e+12
1.251141e+01,0.000000e+00,0,2.000000e-01,3.246479e+12
1.271141e+01,0.000000e+00,0,2.000000e-01,5.145323e+12
1.291141e+01,0.000000e+00,0,2.000000e-01,8.154787e+12
1.311141e+01,0.000000e+00,0,2.000000e-01,1.292447e+13
1.331141e+01,0.000000e+00,0,2.000000e-01,2.048390e+13
1.351141e+01,0.000000e+00,0,2.000000e-01,3.246479e+13
1.371141e+01,1.342200e-05,1,2.000000e-01,5.145323e+13
1.391141e+01,6.174120e-04,46,2.000000e-01,8.154787e+13
1.411141e+01,6.657312e-03,496,2.000000e-01,1.292447e+14
1.431141e+01,1.971692e-02,1469,2.000000e-01,2.048390e+14
1.451141e+01,2.770301e-02,2064,2.000000e-01,3.246479e+14
1.471141e+01,2.547496e-02,1898,2.000000e-01,5.145323e+14
1.491141e+01,1.924715e-02,1434,2.000000e-01,8.154787e+14
1.511141e+01,1.307303e-02,974,2.000000e-01,1.292447e+15
1.531141e+01,7.959246e-03,593,2.000000e-01,2.048390e+15
1.551141e+01,5.301690e-03,395,2.000000e-01,3.246479e+15
1.571141e+01,3.288390e-03,245,2.000000e-01,5.145323e+15
1.591141e+01,1.932768e-03,144,2.000000e-01,8.154787e+15
1.611141e+01,1.073760e-03,80,2.000000e-01,1.292447e+16
1.631141e+01,7.918980e-04,59,2.000000e-01,2.048390e+16
1.651141e+01,3.623940e-04,27,2.000000e-01,3.246479e+16
1.671141e+01,2.147520e-04,16,2.000000e-01,5.145323e+16
1.691141e+01,1.744860e-04,13,2.000000e-01,8.154787e+16
1.711141e+01,1.610640e-04,12,2.000000e-01,1.292447e+17
1.731141e+01,1.342200e-04,10,2.000000e-01,2.048390e+17
1.751141e+01,8.053200e-05,6,2.000000e-01,3.246479e+17
1.771141e+01,9.395400e-05,7,2.000000e-01,5.145323e+17
1.791141e+01,2.684400e-05,2,2.000000e-01,8.154787e+17
1.811141e+01,5.368800e-05,4,2.000000e-01,1.292447e+18
1.831141e+01,2.684400e-05,2,2.000000e-01,2.048390e+18
1.851141e+01,1.342200e-05,1,2.000000e-01,3.246479e+18
1.871141e+01,1.342200e-05,1,2.000000e-01,5.145323e+18
1.891141e+01,0.000000e+00,0,2.000000e-01,8.154787e+18
1.911141e+01,0.000000e+00,0,2.000000e-01,1.292447e+19
1.931141e+01,1.342200e-05,1,2.000000e-01,2.048390e+19
1.951141e+01,0.000000e+00,0,2.000000e-01,3.246479e+19
1.971141e+01,0.000000e+00,0,2.000000e-01,5.145323e+19
1.991141e+01,0.000000e+00,0,2.000000e-01,8.154787e+19
2.011141e+01,0.000000e+00,0,2.000000e-01,1.292447e+20
2.031141e+01,0.000000e+00,0,2.000000e-01,2.048390e+20
2.051141e+01,0.000000e+00,0,2.000000e-01,3.246479e+20
2.071141e+01,0.000000e+00,0,2.000000e-01,5.145323e+20
2.091141e+01,0.000000e+00,0,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,2.000000e-01,8.154787e+21
