# T0 = 1379.1348970089514 K
# gamma = 1.4017473598539392
# gamma_err = nan
# n_pixels = 211569849
log_density,log_temperature
3.473374e-01,3.236682e+00
3.473374e-01,3.236682e+00
3.983151e-02,3.055193e+00
-1.976632e-01,2.926402e+00
2.204923e-01,3.152047e+00
-9.124283e-02,2.984088e+00
-9.177195e-02,2.983908e+00
9.291748e-02,3.084330e+00
1.251366e-01,3.100700e+00
-3.310757e-02,3.012994e+00
3.568694e-01,3.284261e+00
4.063080e-01,3.259851e+00
-6.734593e-02,2.993769e+00
6.694769e-02,3.070640e+00
-1.263540e-01,2.966760e+00
-2.665661e-01,2.895135e+00
3.193732e-01,3.216575e+00
2.632174e-01,3.178043e+00
1.241500e-01,3.102628e+00
5.026828e-02,3.065801e+00
4.688905e-01,3.296989e+00
4.963506e-01,3.315143e+00
-6.795748e-02,2.996206e+00
-2.263568e-01,2.922043e+00
-6.051629e-03,3.027232e+00
7.418745e-02,3.071581e+00
-1.695158e-01,2.952379e+00
1.082354e-01,3.091328e+00
-1.003336e-01,2.976557e+00
2.323212e-01,3.159893e+00
2.272397e-01,3.163944e+00
-1.250257e-01,2.962215e+00
1.892943e-01,3.141859e+00
-2.118266e-01,2.919781e+00
-2.289275e-01,2.911594e+00
5.956802e-02,3.062582e+00
6.223331e-01,3.393937e+00
-6.144260e-02,2.995015e+00
7.826941e-01,3.499664e+00
2.545935e-01,3.173207e+00
-2.312862e-01,2.909975e+00
4.381983e-01,3.285142e+00
-8.559837e-02,2.983546e+00
1.222763e-01,3.098428e+00
-1.004581e-01,2.976843e+00
3.560091e-01,3.230386e+00
1.071057e-01,3.086612e+00
-1.298685e-01,2.963038e+00
1.540474e-01,3.119449e+00
3.379176e-01,3.225809e+00
-2.491072e-02,3.017183e+00
1.578900e-01,3.120696e+00
1.613500e-02,3.046292e+00
4.494568e-02,3.053129e+00
3.794351e-01,3.245373e+00
-3.485189e-01,2.856331e+00
-1.208389e-01,2.968828e+00
-2.591933e-01,2.900588e+00
-5.334139e-02,3.001803e+00
-1.329393e-02,3.027477e+00
-1.199857e-01,2.967790e+00
-2.234872e-01,2.916147e+00
1.737933e-01,3.128224e+00
2.366583e-01,3.160774e+00
1.304955e-01,3.108148e+00
9.920013e-03,3.036245e+00
-7.605956e-02,3.001494e+00
8.622698e-02,3.081754e+00
-1.239291e-01,2.965104e+00
-1.876111e-01,2.934909e+00
-1.269019e-01,2.961622e+00
-7.248367e-02,2.990076e+00
-1.022585e-01,2.977154e+00
8.704479e-02,3.079176e+00
5.480396e-02,3.061764e+00
-2.079691e-02,3.024616e+00
-1.935407e-01,2.930626e+00
-1.691690e-02,3.020663e+00
-1.819594e-02,3.022775e+00
-1.172265e-01,2.972649e+00
-8.449802e-02,2.990919e+00
-4.109948e-02,3.005824e+00
-6.636784e-02,2.995170e+00
1.034740e-02,3.039279e+00
6.305254e-01,3.390398e+00
-2.292561e-01,2.913697e+00
2.699845e-01,3.182293e+00
-2.006244e-01,2.926799e+00
-1.432081e-01,2.954724e+00
2.939034e-01,3.197053e+00
2.124794e-01,3.156112e+00
4.986176e-02,3.067100e+00
-1.170147e-01,2.972861e+00
-6.748831e-02,2.993900e+00
-2.983763e-02,3.014995e+00
1.664478e-01,3.126460e+00
1.371207e-01,3.105725e+00
8.786705e-02,3.078459e+00
-8.602752e-02,2.984220e+00
-1.969204e-01,2.925390e+00
-2.423472e-01,2.905993e+00
7.252073e-02,3.071373e+00
1.684855e-01,3.128583e+00
9.860884e-03,3.039352e+00
2.608880e-01,3.185990e+00
-1.456909e-01,2.953301e+00
-6.845439e-02,3.000406e+00
5.913256e-02,3.063323e+00
-8.222566e-02,2.989889e+00
-3.422375e-02,3.011275e+00
3.667582e-02,3.051233e+00
2.168373e-01,3.152189e+00
-9.005469e-02,2.988822e+00
2.341973e-01,3.161001e+00
2.430597e-01,3.167314e+00
1.241422e-01,3.104070e+00
-3.301481e-02,3.015633e+00
2.951898e-01,3.198444e+00
1.472868e-01,3.110792e+00
