k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,3.623340e+00,4.417544e+01,4.417544e-01
4.430464e-04,2.340469e+00,6.643971e+00,6.643971e-02
8.860928e-04,1.958218e+00,3.898675e+00,3.898675e-02
1.329139e-03,1.659608e+00,3.019282e+00,3.019282e-02
1.772186e-03,1.391032e+00,2.359937e+00,2.359937e-02
2.215232e-03,1.235858e+00,2.091439e+00,2.091439e-02
2.658278e-03,1.048331e+00,1.795924e+00,1.795924e-02
3.101325e-03,8.956134e-01,1.421462e+00,1.421462e-02
3.544371e-03,7.758341e-01,1.221368e+00,1.221368e-02
3.987417e-03,6.608872e-01,1.030923e+00,1.030923e-02
4.430464e-03,5.590694e-01,8.476303e-01,8.476303e-03
4.873510e-03,4.810663e-01,7.288219e-01,7.288219e-03
5.316557e-03,4.211467e-01,6.329751e-01,6.329751e-03
5.759603e-03,3.559192e-01,5.218878e-01,5.218878e-03
6.202649e-03,3.083568e-01,4.650281e-01,4.650281e-03
6.645696e-03,2.658633e-01,3.904928e-01,3.904928e-03
7.088742e-03,2.356814e-01,3.505598e-01,3.505598e-03
7.531789e-03,2.040457e-01,2.960842e-01,2.960842e-03
7.974835e-03,1.775413e-01,2.540155e-01,2.540155e-03
8.417881e-03,1.535547e-01,2.227306e-01,2.227306e-03
8.860928e-03,1.346508e-01,1.931191e-01,1.931191e-03
9.303974e-03,1.192032e-01,1.637573e-01,1.637573e-03
9.747021e-03,1.065247e-01,1.518548e-01,1.518548e-03
1.019007e-02,9.191440e-02,1.278085e-01,1.278085e-03
1.063311e-02,8.188360e-02,1.148033e-01,1.148033e-03
1.107616e-02,7.272803e-02,1.025368e-01,1.025368e-03
1.151921e-02,6.427865e-02,8.850157e-02,8.850157e-04
1.196225e-02,5.737272e-02,7.913687e-02,7.913687e-04
1.240530e-02,4.996631e-02,6.968980e-02,6.968980e-04
1.284835e-02,4.456650e-02,6.156760e-02,6.156760e-04
1.329139e-02,3.947519e-02,5.503299e-02,5.503299e-04
1.373444e-02,3.498254e-02,4.755864e-02,4.755864e-04
1.417748e-02,3.125409e-02,4.395141e-02,4.395141e-04
1.462053e-02,2.765240e-02,3.829031e-02,3.829031e-04
1.506358e-02,2.416707e-02,3.333281e-02,3.333281e-04
1.550662e-02,2.172069e-02,3.002786e-02,3.002786e-04
1.594967e-02,1.939072e-02,2.722885e-02,2.722885e-04
1.639272e-02,1.705611e-02,2.409821e-02,2.409821e-04
1.683576e-02,1.553382e-02,2.196996e-02,2.196996e-04
1.727881e-02,1.340095e-02,1.917845e-02,1.917845e-04
1.772186e-02,1.230973e-02,1.735886e-02,1.735886e-04
1.816490e-02,1.085192e-02,1.524175e-02,1.524175e-04
1.860795e-02,9.463249e-03,1.340443e-02,1.340443e-04
1.905099e-02,8.481040e-03,1.203832e-02,1.203832e-04
1.949404e-02,7.594212e-03,1.071481e-02,1.071481e-04
1.993709e-02,6.816808e-03,9.602579e-03,9.602579e-05
2.038013e-02,5.893238e-03,8.397324e-03,8.397324e-05
2.082318e-02,5.285367e-03,7.693825e-03,7.693825e-05
2.126623e-02,4.766395e-03,6.912855e-03,6.912855e-05
2.170927e-02,4.305237e-03,6.192687e-03,6.192687e-05
2.215232e-02,3.752694e-03,5.475295e-03,5.475295e-05
2.259537e-02,3.406244e-03,5.175137e-03,5.175137e-05
2.303841e-02,2.920052e-03,4.165000e-03,4.165000e-05
2.348146e-02,2.657790e-03,3.779954e-03,3.779954e-05
2.392450e-02,2.379239e-03,3.425893e-03,3.425893e-05
2.436755e-02,2.107445e-03,3.048176e-03,3.048176e-05
2.481060e-02,1.866010e-03,2.697714e-03,2.697714e-05
2.525364e-02,1.691616e-03,2.559819e-03,2.559819e-05
2.569669e-02,1.476557e-03,2.231830e-03,2.231830e-05
2.613974e-02,1.316268e-03,1.985124e-03,1.985124e-05
2.658278e-02,1.190646e-03,1.929264e-03,1.929264e-05
2.702583e-02,1.043375e-03,1.615234e-03,1.615234e-05
2.746888e-02,9.701712e-04,1.630912e-03,1.630912e-05
2.791192e-02,8.516244e-04,1.465491e-03,1.465491e-05
2.835497e-02,7.624190e-04,1.350513e-03,1.350513e-05
2.879802e-02,6.791960e-04,1.173955e-03,1.173955e-05
2.924106e-02,6.012202e-04,1.037318e-03,1.037318e-05
2.968411e-02,5.406282e-04,9.393889e-04,9.393889e-06
3.012715e-02,4.787461e-04,8.098702e-04,8.098702e-06
3.057020e-02,4.316548e-04,7.993341e-04,7.993341e-06
3.101325e-02,3.880468e-04,7.019564e-04,7.019564e-06
3.145629e-02,3.428307e-04,6.275778e-04,6.275778e-06
3.189934e-02,3.097705e-04,5.818959e-04,5.818959e-06
3.234239e-02,2.720377e-04,5.329508e-04,5.329508e-06
3.278543e-02,2.511937e-04,5.606705e-04,5.606705e-06
3.322848e-02,2.248695e-04,5.059609e-04,5.059609e-06
3.367153e-02,2.023842e-04,4.707291e-04,4.707291e-06
3.411457e-02,1.813724e-04,4.141338e-04,4.141338e-06
3.455762e-02,1.602520e-04,3.780584e-04,3.780584e-06
3.500066e-02,1.428131e-04,3.512278e-04,3.512278e-06
3.544371e-02,1.285041e-04,3.159209e-04,3.159209e-06
3.588676e-02,1.158684e-04,3.040424e-04,3.040424e-06
3.632980e-02,1.029092e-04,2.758168e-04,2.758168e-06
3.677285e-02,9.379528e-05,2.614810e-04,2.614810e-06
3.721590e-02,8.444605e-05,2.473043e-04,2.473043e-06
3.765894e-02,7.835786e-05,2.458879e-04,2.458879e-06
3.810199e-02,7.035291e-05,2.295742e-04,2.295742e-06
3.854504e-02,6.474972e-05,2.104906e-04,2.104906e-06
3.898808e-02,5.933342e-05,2.046699e-04,2.046699e-06
3.943113e-02,5.322222e-05,1.897459e-04,1.897459e-06
3.987417e-02,4.833671e-05,1.770983e-04,1.770983e-06
4.031722e-02,4.397783e-05,1.681075e-04,1.681075e-06
4.076027e-02,4.007204e-05,1.642379e-04,1.642379e-06
4.120331e-02,3.650861e-05,1.522143e-04,1.522143e-06
4.164636e-02,3.263915e-05,1.502402e-04,1.502402e-06
4.208941e-02,2.954245e-05,1.450281e-04,1.450281e-06
4.253245e-02,2.769148e-05,1.434630e-04,1.434630e-06
4.297550e-02,2.506753e-05,1.364823e-04,1.364823e-06
4.341855e-02,2.239026e-05,1.182065e-04,1.182065e-06
4.386159e-02,2.049098e-05,1.075694e-04,1.075694e-06
4.430464e-02,1.871295e-05,9.731560e-05,9.731560e-07
4.474769e-02,1.704982e-05,9.437108e-05,9.437108e-07
4.519073e-02,1.540985e-05,8.904481e-05,8.904481e-07
4.563378e-02,1.441918e-05,8.531514e-05,8.531514e-07
4.607682e-02,1.320482e-05,8.180788e-05,8.180788e-07
4.651987e-02,1.247035e-05,7.989038e-05,7.989038e-07
4.696292e-02,1.178968e-05,8.041172e-05,8.041172e-07
4.740596e-02,1.098492e-05,7.561070e-05,7.561070e-07
4.784901e-02,1.005795e-05,7.003789e-05,7.003789e-07
4.829206e-02,9.211068e-06,6.350800e-05,6.350800e-07
4.873510e-02,8.572971e-06,6.117933e-05,6.117933e-07
4.917815e-02,7.858606e-06,5.560518e-05,5.560518e-07
4.962120e-02,7.364606e-06,5.462837e-05,5.462837e-07
5.006424e-02,6.884675e-06,5.286798e-05,5.286798e-07
5.050729e-02,6.487756e-06,5.213173e-05,5.213173e-07
5.095033e-02,6.106937e-06,5.337109e-05,5.337109e-07
5.139338e-02,5.851068e-06,5.594897e-05,5.594897e-07
5.183643e-02,5.456629e-06,5.657448e-05,5.657448e-07
5.227947e-02,4.982769e-06,5.146546e-05,5.146546e-07
5.272252e-02,4.552575e-06,4.528566e-05,4.528566e-07
5.316557e-02,4.120213e-06,3.859387e-05,3.859387e-07
5.360861e-02,3.822437e-06,3.484166e-05,3.484166e-07
5.405166e-02,3.475393e-06,3.220930e-05,3.220930e-07
5.449471e-02,3.287049e-06,3.131152e-05,3.131152e-07
5.493775e-02,3.101560e-06,3.005573e-05,3.005573e-07
5.538080e-02,2.942229e-06,2.930974e-05,2.930974e-07
5.582384e-02,2.893194e-06,2.959169e-05,2.959169e-07
5.626689e-02,2.832613e-06,3.089855e-05,3.089855e-07
5.670994e-02,2.751462e-06,3.119781e-05,3.119781e-07
5.715298e-02,2.628961e-06,3.005793e-05,3.005793e-07
5.759603e-02,2.405306e-06,2.742162e-05,2.742162e-07
5.803908e-02,2.243467e-06,2.498160e-05,2.498160e-07
5.848212e-02,2.066009e-06,2.273561e-05,2.273561e-07
5.892517e-02,1.920085e-06,2.130378e-05,2.130378e-07
5.936822e-02,1.789509e-06,1.966708e-05,1.966708e-07
5.981126e-02,1.664341e-06,1.821076e-05,1.821076e-07
6.025431e-02,1.575108e-06,1.788439e-05,1.788439e-07
6.069736e-02,1.495991e-06,1.857324e-05,1.857324e-07
6.114040e-02,1.457376e-06,1.953681e-05,1.953681e-07
6.158345e-02,1.407770e-06,1.950620e-05,1.950620e-07
6.202649e-02,1.381868e-06,1.849697e-05,1.849697e-07
6.246954e-02,1.304815e-06,1.653146e-05,1.653146e-07
6.291259e-02,1.228090e-06,1.479634e-05,1.479634e-07
6.335563e-02,1.166140e-06,1.413579e-05,1.413579e-07
6.379868e-02,1.126812e-06,1.375941e-05,1.375941e-07
6.424173e-02,1.088206e-06,1.345501e-05,1.345501e-07
6.468477e-02,1.036110e-06,1.288000e-05,1.288000e-07
6.512782e-02,9.926749e-07,1.271534e-05,1.271534e-07
6.557087e-02,9.287014e-07,1.273873e-05,1.273873e-07
6.601391e-02,8.662264e-07,1.274292e-05,1.274292e-07
6.645696e-02,8.063712e-07,1.216631e-05,1.216631e-07
6.690000e-02,7.506366e-07,1.109972e-05,1.109972e-07
6.734305e-02,6.931189e-07,9.758262e-06,9.758262e-08
6.778610e-02,6.286840e-07,8.409171e-06,8.409171e-08
6.822914e-02,5.805335e-07,7.647592e-06,7.647592e-08
6.867219e-02,5.675717e-07,7.435562e-06,7.435562e-08
6.911524e-02,5.718679e-07,7.441615e-06,7.441615e-08
6.955828e-02,5.839422e-07,7.769549e-06,7.769549e-08
7.000133e-02,5.889379e-07,8.221795e-06,8.221795e-08
7.044438e-02,5.829283e-07,8.596143e-06,8.596143e-08
7.088742e-02,5.717567e-07,8.748360e-06,8.748360e-08
7.133047e-02,5.509403e-07,8.308028e-06,8.308028e-08
7.177351e-02,5.191109e-07,7.427555e-06,7.427555e-08
7.221656e-02,4.816408e-07,6.526023e-06,6.526023e-08
