# n_sightlines = 10000
# dX = 37.252272 Mpc (comoving)
# redshift = 4.995933
# n_absorbers = 10146
# beta_fit = -1.314765
# f_N_HI units: [Mpc^-1] (comoving)
#
log10_N_HI,f_N_HI,counts,delta_log_N,bin_center
1.211141e+01,9.395400e-05,7,2.000000e-01,1.292447e+12
1.231141e+01,2.684400e-05,2,2.000000e-01,2.048390e+12
1.251141e+01,1.879080e-04,14,2.000000e-01,3.246479e+12
1.271141e+01,1.744860e-04,13,2.000000e-01,5.145323e+12
1.291141e+01,4.429260e-04,33,2.000000e-01,8.154787e+12
1.311141e+01,1.879080e-03,140,2.000000e-01,1.292447e+13
1.331141e+01,5.690928e-03,424,2.000000e-01,2.048390e+13
1.351141e+01,1.080471e-02,805,2.000000e-01,3.246479e+13
1.371141e+01,1.420048e-02,1058,2.000000e-01,5.145323e+13
1.391141e+01,1.530108e-02,1140,2.000000e-01,8.154787e+13
1.411141e+01,1.382466e-02,1030,2.000000e-01,1.292447e+14
1.431141e+01,1.214691e-02,905,2.000000e-01,2.048390e+14
1.451141e+01,1.006650e-02,750,2.000000e-01,3.246479e+14
1.471141e+01,8.348484e-03,622,2.000000e-01,5.145323e+14
1.491141e+01,6.254652e-03,466,2.000000e-01,8.154787e+14
1.511141e+01,5.180892e-03,386,2.000000e-01,1.292447e+15
1.531141e+01,4.295040e-03,320,2.000000e-01,2.048390e+15
1.551141e+01,3.422610e-03,255,2.000000e-01,3.246479e+15
1.571141e+01,3.207858e-03,239,2.000000e-01,5.145323e+15
1.591141e+01,2.348850e-03,175,2.000000e-01,8.154787e+15
1.611141e+01,2.174364e-03,162,2.000000e-01,1.292447e+16
1.631141e+01,1.838814e-03,137,2.000000e-01,2.048390e+16
1.651141e+01,1.395888e-03,104,2.000000e-01,3.246479e+16
1.671141e+01,1.650906e-03,123,2.000000e-01,5.145323e+16
1.691141e+01,1.261668e-03,94,2.000000e-01,8.154787e+16
1.711141e+01,1.221402e-03,91,2.000000e-01,1.292447e+17
1.731141e+01,1.087182e-03,81,2.000000e-01,2.048390e+17
1.751141e+01,8.455860e-04,63,2.000000e-01,3.246479e+17
1.771141e+01,1.060338e-03,79,2.000000e-01,5.145323e+17
1.791141e+01,1.006650e-03,75,2.000000e-01,8.154787e+17
1.811141e+01,9.261180e-04,69,2.000000e-01,1.292447e+18
1.831141e+01,9.663840e-04,72,2.000000e-01,2.048390e+18
1.851141e+01,6.845220e-04,51,2.000000e-01,3.246479e+18
1.871141e+01,6.442560e-04,48,2.000000e-01,5.145323e+18
1.891141e+01,3.355500e-04,25,2.000000e-01,8.154787e+18
1.911141e+01,5.100360e-04,38,2.000000e-01,1.292447e+19
1.931141e+01,1.879080e-04,14,2.000000e-01,2.048390e+19
1.951141e+01,2.281740e-04,17,2.000000e-01,3.246479e+19
1.971141e+01,9.395400e-05,7,2.000000e-01,5.145323e+19
1.991141e+01,5.368800e-05,4,2.000000e-01,8.154787e+19
2.011141e+01,4.026600e-05,3,2.000000e-01,1.292447e+20
2.031141e+01,4.026600e-05,3,2.000000e-01,2.048390e+20
2.051141e+01,1.342200e-05,1,2.000000e-01,3.246479e+20
2.071141e+01,0.000000e+00,0,2.000000e-01,5.145323e+20
2.091141e+01,0.000000e+00,0,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,2.000000e-01,2.048390e+21
2.151141e+01,1.342200e-05,1,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,2.000000e-01,8.154787e+21
