# T0 = 15021.9870549314 K
# gamma = 1.1261601736315898
# gamma_err = 0.40060385378723107
# n_pixels = 35053902
log_density,log_temperature
-2.437488e-01,4.515538e+00
1.735130e-01,4.041972e+00
-6.858488e-01,3.843284e+00
-5.337212e-01,3.648852e+00
-5.138877e-01,3.452705e+00
1.106811e+00,4.976845e+00
-1.514838e-02,3.755543e+00
-6.482505e-01,3.377855e+00
5.129093e-01,4.070571e+00
8.528929e-01,4.911786e+00
-2.020386e-01,3.931447e+00
1.426151e+00,5.028510e+00
-1.738705e-01,6.001153e+00
2.942815e-01,3.951150e+00
1.387909e+00,4.720510e+00
-8.576616e-01,3.518446e+00
1.521713e-01,3.868898e+00
-1.672867e-01,3.654500e+00
-4.682329e-01,3.488708e+00
-1.952549e-01,3.873105e+00
2.076239e-01,4.034107e+00
-9.631940e-02,4.078833e+00
5.516531e-01,5.411366e+00
3.701403e-01,4.935405e+00
-1.040195e+00,4.128565e+00
1.897695e-01,5.737755e+00
-1.262455e+00,3.091731e+00
2.500723e-01,3.899463e+00
7.028328e-01,5.408580e+00
-1.080744e+00,3.133816e+00
-6.025053e-01,3.479836e+00
6.085626e-01,4.113015e+00
-1.430315e-02,5.795525e+00
-9.582614e-01,3.215202e+00
-3.967923e-01,3.583924e+00
5.229604e-01,5.254241e+00
-3.474964e-01,4.717855e+00
2.253059e-01,5.398400e+00
5.860545e-01,5.019833e+00
-5.696720e-01,3.465302e+00
2.712280e-01,4.130521e+00
1.116805e+00,5.019962e+00
-2.079811e-01,3.840204e+00
5.734040e-01,5.324402e+00
5.349782e-01,4.245197e+00
2.160914e-01,5.667341e+00
-1.025663e+00,3.160698e+00
-4.102119e-01,3.520748e+00
-3.326779e-01,5.852806e+00
-4.273226e-01,3.572885e+00
2.558882e-02,5.265564e+00
2.203009e-01,3.960506e+00
-8.440994e-01,5.390866e+00
8.196850e-01,4.533324e+00
7.733121e-01,4.342664e+00
-1.063833e+00,3.149887e+00
1.990440e-01,3.945303e+00
-6.308366e-02,3.757096e+00
1.159155e+00,4.896046e+00
-6.306865e-02,4.012981e+00
-6.961316e-02,3.715496e+00
4.937977e-01,5.510433e+00
6.848248e-01,4.933930e+00
-3.979984e-01,3.542558e+00
-3.152061e-01,3.586571e+00
-4.598889e-01,3.634556e+00
9.456538e-01,4.755047e+00
-4.048590e-01,3.649062e+00
-3.565491e-01,3.555040e+00
9.970243e-01,5.258840e+00
-7.774195e-01,3.526325e+00
-4.489248e-01,3.565554e+00
3.357804e-01,4.121122e+00
1.025224e-01,5.309161e+00
5.573156e-01,4.537450e+00
1.005603e+00,4.351056e+00
-2.469095e-01,3.666019e+00
-5.412871e-01,3.435134e+00
-8.788165e-01,5.317863e+00
4.130398e-01,4.467538e+00
-7.012167e-02,4.424312e+00
1.079123e+00,5.043801e+00
6.740203e-01,4.125618e+00
-1.365813e-01,3.723202e+00
-1.875143e-01,5.204106e+00
-3.702090e-02,4.533085e+00
-3.590304e-01,3.545441e+00
1.621665e-02,3.911257e+00
3.396553e-01,4.561060e+00
1.296075e+00,4.584053e+00
9.199879e-01,4.966232e+00
-5.615736e-01,5.233084e+00
3.904528e-01,4.090880e+00
-7.506633e-01,3.356997e+00
1.477731e+00,4.669653e+00
-4.417003e-01,3.531647e+00
-1.207178e-01,3.686969e+00
1.044533e+00,4.524492e+00
-7.801156e-01,5.939609e+00
2.977220e-01,4.691150e+00
-9.299706e-01,3.486415e+00
-1.271535e-01,4.462776e+00
1.562278e-01,4.372203e+00
2.449439e-01,5.517359e+00
3.780341e-01,4.641400e+00
7.927125e-01,4.191752e+00
-7.319184e-01,3.334893e+00
-5.161056e-01,5.295337e+00
-7.336042e-01,3.331646e+00
-9.546273e-01,3.205190e+00
1.610693e+00,6.136070e+00
-3.508971e-01,3.587343e+00
-2.196191e-01,3.651519e+00
-6.510329e-01,4.615970e+00
1.341529e+00,4.604486e+00
-5.664229e-01,3.443488e+00
-6.247293e-01,3.390096e+00
-8.866325e-01,3.498670e+00
-2.725108e-01,5.110257e+00
-2.091298e-01,3.633177e+00
-6.575873e-02,4.357606e+00
2.003840e-01,5.499426e+00
-2.469008e-01,3.615214e+00
1.145743e-01,3.813924e+00
-1.209934e+00,3.434253e+00
5.806471e-01,5.466448e+00
-3.886030e-01,3.555867e+00
-1.092365e-01,3.716473e+00
-9.436453e-01,3.286334e+00
-2.802267e-01,3.609592e+00
1.261704e+00,4.746467e+00
6.016006e-02,5.217382e+00
9.012925e-01,4.292052e+00
3.747039e-01,4.000058e+00
-6.514928e-01,3.387760e+00
9.455256e-01,4.693330e+00
3.677867e-01,4.822533e+00
5.870109e-02,5.955399e+00
-6.557307e-03,3.817353e+00
-3.591211e-02,3.756955e+00
-4.998740e-01,3.882603e+00
1.079821e+00,5.159157e+00
-2.148915e-01,3.633501e+00
1.096216e+00,5.166055e+00
-4.336939e-01,4.310590e+00
-2.644074e-03,4.002977e+00
-4.697641e-03,3.793977e+00
3.197461e-01,5.083480e+00
8.445549e-01,4.992878e+00
2.221546e-01,4.005356e+00
-8.933410e-02,3.902047e+00
-6.486334e-01,3.733697e+00
-7.120514e-01,3.359847e+00
