# n_sightlines = 10000
# dX = 37.252272 Mpc (comoving)
# redshift = 4.995933
# n_absorbers = 14734
# beta_fit = -0.209576
# f_N_HI units: [Mpc^-1] (comoving)
#
log10_N_HI,f_N_HI,counts,delta_log_N,bin_center
1.211141e+01,4.617168e-03,344,2.000000e-01,1.292447e+12
1.231141e+01,5.476176e-03,408,2.000000e-01,2.048390e+12
1.251141e+01,6.858642e-03,511,2.000000e-01,3.246479e+12
1.271141e+01,8.764566e-03,653,2.000000e-01,5.145323e+12
1.291141e+01,1.177109e-02,877,2.000000e-01,8.154787e+12
1.311141e+01,1.633457e-02,1217,2.000000e-01,1.292447e+13
1.331141e+01,2.018669e-02,1504,2.000000e-01,2.048390e+13
1.351141e+01,2.113965e-02,1575,2.000000e-01,3.246479e+13
1.371141e+01,1.872369e-02,1395,2.000000e-01,5.145323e+13
1.391141e+01,1.566347e-02,1167,2.000000e-01,8.154787e+13
1.411141e+01,1.272406e-02,948,2.000000e-01,1.292447e+14
1.431141e+01,9.972546e-03,743,2.000000e-01,2.048390e+14
1.451141e+01,8.133732e-03,606,2.000000e-01,3.246479e+14
1.471141e+01,5.784882e-03,431,2.000000e-01,5.145323e+14
1.491141e+01,4.818498e-03,359,2.000000e-01,8.154787e+14
1.511141e+01,3.610518e-03,269,2.000000e-01,1.292447e+15
1.531141e+01,3.328656e-03,248,2.000000e-01,2.048390e+15
1.551141e+01,2.711244e-03,202,2.000000e-01,3.246479e+15
1.571141e+01,1.892502e-03,141,2.000000e-01,5.145323e+15
1.591141e+01,1.973034e-03,147,2.000000e-01,8.154787e+15
1.611141e+01,1.597218e-03,119,2.000000e-01,1.292447e+16
1.631141e+01,1.382466e-03,103,2.000000e-01,2.048390e+16
1.651141e+01,1.234824e-03,92,2.000000e-01,3.246479e+16
1.671141e+01,9.529620e-04,71,2.000000e-01,5.145323e+16
1.691141e+01,8.187420e-04,61,2.000000e-01,8.154787e+16
1.711141e+01,7.382100e-04,55,2.000000e-01,1.292447e+17
1.731141e+01,7.382100e-04,55,2.000000e-01,2.048390e+17
1.751141e+01,9.126960e-04,68,2.000000e-01,3.246479e+17
1.771141e+01,6.845220e-04,51,2.000000e-01,5.145323e+17
1.791141e+01,6.174120e-04,46,2.000000e-01,8.154787e+17
1.811141e+01,6.308340e-04,47,2.000000e-01,1.292447e+18
1.831141e+01,6.174120e-04,46,2.000000e-01,2.048390e+18
1.851141e+01,4.966140e-04,37,2.000000e-01,3.246479e+18
1.871141e+01,5.100360e-04,38,2.000000e-01,5.145323e+18
1.891141e+01,4.697700e-04,35,2.000000e-01,8.154787e+18
1.911141e+01,2.550180e-04,19,2.000000e-01,1.292447e+19
1.931141e+01,1.476420e-04,11,2.000000e-01,2.048390e+19
1.951141e+01,2.147520e-04,16,2.000000e-01,3.246479e+19
1.971141e+01,1.342200e-04,10,2.000000e-01,5.145323e+19
1.991141e+01,5.368800e-05,4,2.000000e-01,8.154787e+19
2.011141e+01,5.368800e-05,4,2.000000e-01,1.292447e+20
2.031141e+01,0.000000e+00,0,2.000000e-01,2.048390e+20
2.051141e+01,1.342200e-05,1,2.000000e-01,3.246479e+20
2.071141e+01,0.000000e+00,0,2.000000e-01,5.145323e+20
2.091141e+01,0.000000e+00,0,2.000000e-01,8.154787e+20
2.111141e+01,0.000000e+00,0,2.000000e-01,1.292447e+21
2.131141e+01,0.000000e+00,0,2.000000e-01,2.048390e+21
2.151141e+01,0.000000e+00,0,2.000000e-01,3.246479e+21
2.171141e+01,0.000000e+00,0,2.000000e-01,5.145323e+21
2.191141e+01,0.000000e+00,0,2.000000e-01,8.154787e+21
