N_HI,b_param_km_s
1.573550e+12,3.746385e+01
4.179443e+13,2.736113e+01
1.142160e+12,2.268520e+01
1.209407e+12,4.173940e+01
2.287540e+12,2.607461e+01
4.812467e+13,3.291462e+01
4.332226e+12,5.256483e+01
1.712492e+12,6.227310e+01
1.947911e+12,3.068530e+01
4.604128e+12,2.858042e+01
9.569431e+13,2.755926e+01
5.825414e+13,6.721195e+01
5.825414e+13,6.721352e+01
5.825414e+13,6.721353e+01
1.258118e+12,3.741449e+01
2.305417e+19,1.639860e+01
2.305417e+19,3.813736e+01
1.046628e+12,4.237033e+01
1.680634e+12,2.938091e+01
1.430395e+12,3.585642e+01
7.223925e+12,7.551324e+01
7.223925e+12,7.551328e+01
1.585935e+13,5.812055e+01
1.102606e+13,4.214674e+01
1.066642e+12,3.743226e+01
3.552158e+12,5.541135e+01
1.577860e+12,3.750490e+01
1.465384e+12,3.767102e+01
7.428752e+12,4.556242e+01
7.428752e+12,4.556398e+01
2.467850e+12,2.917534e+01
3.798427e+12,3.345760e+01
1.765001e+12,6.160937e+01
2.842954e+16,1.561037e+01
1.547655e+12,7.165923e+01
1.547655e+12,7.166101e+01
4.148410e+17,1.366739e+01
4.707891e+12,3.381445e+01
3.017624e+12,5.514378e+01
2.195726e+12,2.636672e+01
1.384483e+13,2.534424e+01
1.057210e+12,2.260263e+01
5.996023e+12,2.569517e+01
5.996023e+12,2.569506e+01
5.996023e+12,2.569519e+01
1.594978e+12,3.244002e+01
1.188091e+12,2.357709e+01
3.693620e+12,3.556592e+01
1.803881e+12,3.005567e+01
1.183262e+12,2.763771e+01
3.364666e+12,2.498207e+01
1.690732e+12,2.964505e+01
5.528786e+12,3.201238e+01
5.528786e+12,3.201216e+01
1.711279e+12,3.868730e+01
2.798309e+12,2.545016e+01
3.300108e+12,2.980413e+01
2.913595e+12,3.271591e+01
2.913005e+12,6.081350e+01
1.431827e+12,7.761203e+01
2.139824e+12,2.341705e+01
8.546652e+12,3.054053e+01
5.113177e+12,2.937820e+01
1.972354e+12,6.699894e+01
1.972354e+12,6.699939e+01
1.443224e+12,4.978855e+01
2.153355e+12,3.114865e+01
2.153355e+12,3.114964e+01
1.545713e+12,2.336502e+01
7.037711e+13,2.819084e+01
4.196606e+12,5.895291e+01
3.319347e+12,2.500631e+01
2.468020e+13,4.009574e+01
4.438665e+12,5.402554e+01
4.438665e+12,5.402557e+01
1.598681e+12,6.527839e+01
1.598681e+12,6.527871e+01
1.908104e+12,2.403328e+01
1.594169e+12,2.885590e+01
2.379202e+16,1.668692e+01
2.010799e+13,2.769990e+01
2.010799e+13,2.769990e+01
1.451278e+12,4.835552e+01
3.922721e+13,3.709817e+01
2.716071e+17,1.446706e+01
1.808332e+12,4.036225e+01
1.904031e+12,3.746620e+01
2.340114e+12,2.557202e+01
2.364254e+12,2.891315e+01
1.008085e+14,2.818147e+01
3.911248e+12,4.403136e+01
1.135878e+12,2.587335e+01
1.551763e+14,2.709576e+01
1.392925e+12,4.258964e+01
3.920808e+12,3.193915e+01
3.920808e+12,3.193846e+01
1.126012e+12,3.168387e+01
3.128395e+16,2.033057e+01
2.364119e+12,2.949997e+01
2.153824e+12,3.217800e+01
2.918145e+12,7.064894e+01
2.918145e+12,7.064874e+01
1.243177e+12,4.930427e+01
1.682777e+12,2.927230e+01
2.298236e+12,5.994347e+01
1.788739e+14,2.742983e+01
1.540445e+12,3.257896e+01
5.911195e+18,1.543606e+01
1.396256e+12,7.449846e+01
1.396256e+12,7.449849e+01
1.364851e+12,2.333716e+01
1.077538e+19,3.772083e+01
1.077538e+19,1.724346e+01
9.358892e+13,6.017638e+01
9.358892e+13,3.401990e+01
9.358892e+13,3.402011e+01
9.358892e+13,3.401954e+01
9.358892e+13,5.820935e+01
1.363713e+12,5.568878e+01
1.115378e+13,3.832505e+01
2.907297e+12,4.190493e+01
6.303003e+12,2.503817e+01
2.990666e+12,2.536062e+01
7.827063e+12,2.712479e+01
3.232910e+13,3.298669e+01
1.093556e+12,3.905530e+01
1.020405e+13,2.526845e+01
1.122246e+12,3.088307e+01
2.069427e+12,3.568529e+01
5.868592e+12,3.793872e+01
1.824222e+12,4.043415e+01
2.842660e+12,2.484558e+01
1.706935e+13,3.538183e+01
2.493749e+12,3.995227e+01
2.280842e+12,4.351161e+01
4.092723e+12,3.111509e+01
6.081947e+17,3.329511e+01
6.081947e+17,1.429676e+01
1.038206e+13,2.831422e+01
1.112817e+12,4.892601e+01
1.701204e+12,4.160750e+01
1.413469e+12,2.603194e+01
1.116262e+13,3.285190e+01
1.520892e+12,3.269468e+01
1.125511e+13,2.795563e+01
7.306422e+12,2.804227e+01
1.203463e+12,2.770024e+01
1.203463e+12,2.769958e+01
2.256468e+16,1.701515e+01
1.245866e+12,2.711896e+01
1.253897e+12,3.193569e+01
5.025989e+12,2.905274e+01
4.570119e+12,3.353369e+01
1.846539e+12,3.312467e+01
4.374285e+12,3.794128e+01
4.374285e+12,3.794101e+01
7.530350e+12,3.442383e+01
1.278211e+12,2.311907e+01
1.398173e+12,3.597242e+01
2.126446e+13,3.116323e+01
1.072506e+12,4.682189e+01
9.933335e+13,5.363958e+01
1.051182e+12,4.592882e+01
1.051182e+12,4.593061e+01
1.673747e+12,4.108223e+01
2.941020e+12,5.310528e+01
1.858312e+12,3.326651e+01
3.779703e+12,2.561876e+01
2.129307e+12,3.356283e+01
2.455848e+12,2.998674e+01
1.402600e+12,2.712590e+01
1.539729e+12,2.438398e+01
7.225558e+12,2.905720e+01
1.068251e+14,3.101439e+01
1.068251e+14,3.030476e+01
3.427076e+12,4.298888e+01
9.873908e+12,3.787996e+01
5.811488e+12,5.855121e+01
1.628411e+18,6.911180e+01
1.628411e+18,6.911125e+01
1.628411e+18,6.911182e+01
1.279732e+12,2.756577e+01
3.292408e+12,3.665779e+01
3.585330e+12,7.492859e+01
4.815376e+12,4.961194e+01
2.383552e+12,3.406200e+01
1.399811e+12,4.350917e+01
1.877025e+13,2.662666e+01
1.239015e+13,3.049051e+01
6.381136e+12,3.361742e+01
6.133844e+12,4.062627e+01
1.233441e+12,2.385592e+01
1.601715e+14,3.139910e+01
1.601715e+14,3.139910e+01
3.629733e+12,5.159265e+01
1.063994e+12,3.364351e+01
2.646569e+14,2.275461e+01
1.098045e+13,3.147664e+01
2.650932e+12,5.680253e+01
1.915786e+12,7.738392e+01
1.650072e+13,3.259139e+01
5.771210e+12,2.736878e+01
1.730162e+12,4.799298e+01
6.818178e+14,2.576636e+01
3.083221e+13,3.802253e+01
3.083221e+13,3.802223e+01
2.223807e+19,3.032713e+01
2.223807e+19,3.522952e+01
2.223807e+19,4.365233e+01
2.223807e+19,4.365224e+01
2.223807e+19,3.916192e+01
1.138392e+12,4.170275e+01
3.193550e+12,4.685714e+01
1.959810e+12,2.739391e+01
1.152985e+12,3.136190e+01
3.451407e+12,5.122538e+01
2.861065e+13,3.418948e+01
1.408755e+12,2.915230e+01
2.150981e+12,3.463294e+01
2.652673e+12,2.683716e+01
2.688473e+12,3.675507e+01
1.368759e+12,3.353312e+01
1.309961e+12,5.979520e+01
1.158235e+12,2.635241e+01
1.438432e+12,5.264174e+01
7.253070e+12,3.201999e+01
2.055818e+12,2.523268e+01
6.014060e+12,2.816471e+01
1.155928e+12,3.800952e+01
3.100355e+12,3.355555e+01
3.100355e+12,2.554762e+01
5.004707e+12,2.773179e+01
5.004707e+12,2.773143e+01
2.108818e+12,2.712174e+01
4.642050e+13,3.495286e+01
1.828128e+14,2.255498e+01
1.975807e+15,1.936118e+01
5.514578e+15,2.642739e+01
6.579651e+12,2.566464e+01
1.051736e+12,3.582749e+01
2.237253e+12,4.780271e+01
5.249062e+15,1.911927e+01
1.807300e+12,4.288556e+01
2.189175e+12,2.559588e+01
2.796576e+12,4.286586e+01
1.334049e+12,2.356022e+01
2.834729e+12,2.593999e+01
2.897680e+12,4.025014e+01
2.897680e+12,4.025006e+01
2.897680e+12,4.024865e+01
1.309671e+14,2.706211e+01
2.403217e+15,2.679946e+01
1.050955e+15,1.903675e+01
3.220655e+12,4.534367e+01
1.310826e+12,2.825564e+01
4.710705e+12,5.993626e+01
2.595705e+12,4.550750e+01
3.911926e+13,2.885303e+01
1.512055e+12,2.495466e+01
2.585310e+16,5.083403e+01
2.585310e+16,5.083650e+01
2.585310e+16,5.083651e+01
3.525352e+12,3.723375e+01
1.244777e+12,4.471043e+01
2.210868e+12,3.835391e+01
6.117070e+12,2.495516e+01
1.207467e+12,2.880410e+01
1.129614e+19,3.611892e+01
1.129614e+19,3.949367e+01
1.129614e+19,3.228958e+01
1.129614e+19,1.915999e+01
1.129614e+19,3.156836e+01
8.774977e+17,5.501294e+01
8.774977e+17,5.501277e+01
7.198052e+12,3.264735e+01
8.076648e+12,4.135920e+01
1.552401e+12,2.860978e+01
1.331590e+12,3.460144e+01
1.102017e+14,2.949824e+01
1.102017e+14,2.949824e+01
1.113780e+12,4.166358e+01
1.422094e+12,2.804381e+01
2.068304e+12,3.676937e+01
1.466240e+12,2.584564e+01
1.805425e+12,2.510483e+01
2.780426e+12,2.679222e+01
1.920866e+12,2.422129e+01
1.345632e+12,5.021551e+01
2.545323e+12,4.022256e+01
1.563332e+12,4.014483e+01
1.130626e+12,3.328160e+01
1.542389e+12,3.222017e+01
3.497075e+12,7.290105e+01
1.780780e+12,3.174498e+01
2.558178e+13,2.371131e+01
2.870113e+12,2.311217e+01
2.217367e+12,5.492271e+01
2.217367e+12,5.492199e+01
3.756433e+12,4.313647e+01
1.149804e+12,3.559532e+01
1.117202e+12,4.303034e+01
4.203511e+12,3.646786e+01
2.077863e+12,3.616958e+01
3.853917e+12,3.647919e+01
1.518148e+13,3.230418e+01
4.754347e+12,3.861597e+01
1.616525e+12,3.190441e+01
1.480524e+12,3.099396e+01
1.480524e+12,6.494381e+01
1.769359e+12,2.973897e+01
2.078619e+12,2.155727e+01
6.036538e+12,3.098700e+01
1.239362e+12,4.333995e+01
3.692910e+12,4.559024e+01
2.763898e+14,3.547122e+01
1.219466e+12,2.866653e+01
5.096998e+12,3.857031e+01
5.096998e+12,3.856965e+01
2.236303e+12,2.530521e+01
2.606068e+12,2.899793e+01
2.183515e+12,2.669365e+01
2.907519e+12,3.165982e+01
2.907519e+12,2.127738e+01
1.169699e+12,2.375527e+01
7.036553e+13,3.018483e+01
8.225446e+12,3.848134e+01
2.795542e+12,2.867279e+01
6.246892e+12,4.206682e+01
1.351791e+12,3.888022e+01
1.526673e+13,3.623237e+01
5.928821e+12,5.441926e+01
5.928821e+12,5.441978e+01
2.205977e+12,2.555709e+01
4.818704e+13,4.679982e+01
1.129954e+12,2.620958e+01
1.454183e+15,2.115260e+01
1.986874e+12,3.201211e+01
1.187268e+12,4.260196e+01
1.659281e+12,7.574312e+01
1.659281e+12,7.574326e+01
1.659281e+12,7.574390e+01
1.390980e+12,2.976198e+01
1.076166e+12,6.618579e+01
6.998410e+13,2.210727e+01
1.093478e+12,2.265838e+01
1.527000e+12,2.644142e+01
