# T0 = 12251.729391573483 K
# gamma = 1.235606008981974
# gamma_err = 0.4262850619232105
# n_pixels = 13484038
log_density,log_temperature
1.208246e+00,5.537799e+00
-5.896326e-01,3.254453e+00
-1.017360e+00,3.528146e+00
-7.186301e-01,3.211028e+00
-7.062851e-01,3.198234e+00
2.574137e+00,6.148730e+00
-9.605201e-01,3.032468e+00
-7.065743e-02,5.254363e+00
2.987617e-01,4.823149e+00
4.864216e-01,5.315236e+00
9.787591e-01,5.101540e+00
4.517199e-01,4.551126e+00
1.065485e+00,4.223481e+00
7.006248e-01,5.577235e+00
8.385954e-01,4.699117e+00
1.560124e-01,5.561632e+00
4.593202e-02,3.678265e+00
1.243785e-01,4.514639e+00
-1.074221e+00,3.546274e+00
-7.953268e-01,3.645320e+00
-6.381851e-01,3.199375e+00
1.345384e+00,4.758964e+00
-3.408778e-01,3.490732e+00
-1.185691e+00,2.912897e+00
-1.917424e-01,3.465089e+00
-1.469206e+00,3.224651e+00
1.238915e+00,4.666727e+00
1.664364e+00,4.825009e+00
3.063257e-01,4.037634e+00
-8.476619e-01,3.170385e+00
-7.216938e-01,3.149920e+00
1.879293e+00,5.379604e+00
-2.575866e-01,3.442633e+00
-5.494884e-01,3.252308e+00
7.064124e-01,4.014867e+00
-6.604592e-01,4.240477e+00
-1.426420e-01,3.506801e+00
-1.286124e+00,2.873952e+00
-6.124920e-01,3.925682e+00
-6.019809e-01,3.940642e+00
1.420200e+00,5.686334e+00
3.749715e-01,3.874956e+00
1.254680e+00,4.272358e+00
6.023596e-01,4.698727e+00
5.095342e-01,3.988100e+00
2.694191e-01,5.305058e+00
4.166631e-01,3.835241e+00
-5.105718e-02,5.173500e+00
-3.751064e-01,3.374242e+00
-6.210303e-01,3.214358e+00
-6.417778e-01,3.420534e+00
-9.744809e-01,3.184624e+00
-1.051700e+00,3.906313e+00
1.680924e+00,4.662167e+00
1.485186e+00,5.230944e+00
8.975445e-01,4.483700e+00
5.175613e-01,4.912635e+00
2.001550e-01,3.940303e+00
6.028900e-01,4.507950e+00
-9.675178e-02,3.574999e+00
2.417922e-02,5.316502e+00
-9.697015e-01,3.017034e+00
1.351314e+00,5.363690e+00
1.717363e+00,5.289223e+00
-1.670719e-01,3.881640e+00
-5.584347e-01,3.264239e+00
8.912176e-01,4.773835e+00
8.486476e-01,4.703156e+00
-2.459328e-01,4.327799e+00
-5.506400e-01,3.258222e+00
-9.030329e-01,3.387427e+00
-3.891855e-01,3.362373e+00
1.205873e-02,3.867648e+00
5.366171e-01,4.423897e+00
4.811390e-01,5.313312e+00
1.237540e+00,4.435054e+00
3.792064e-01,3.831938e+00
-1.024773e-02,3.575634e+00
-1.840369e-01,3.536403e+00
8.116595e-01,5.420549e+00
-9.145873e-01,5.286311e+00
-8.910329e-01,3.083526e+00
1.759985e+00,5.488359e+00
5.041366e-01,4.763988e+00
-9.794881e-01,3.006736e+00
5.272520e-01,4.370685e+00
-6.085397e-01,3.582224e+00
1.193704e+00,4.784539e+00
-2.655654e-01,3.973803e+00
8.548665e-01,5.981364e+00
-2.968718e-01,5.176896e+00
2.015584e-01,4.055654e+00
1.235565e-01,4.981968e+00
3.515923e-01,5.378594e+00
9.262719e-01,5.653301e+00
7.095673e-01,5.185585e+00
-1.013284e-01,5.436831e+00
4.679297e-01,3.875535e+00
-7.722624e-01,3.129795e+00
1.364310e+00,5.759750e+00
4.260868e-01,5.686389e+00
1.448176e+00,4.743944e+00
-1.158103e-01,5.396694e+00
-6.948301e-01,3.231084e+00
-5.316321e-01,3.263357e+00
-2.795944e-02,4.473971e+00
-1.016465e+00,3.566469e+00
-7.509778e-01,3.203902e+00
-7.045397e-01,4.726839e+00
-1.344518e-01,5.269703e+00
1.765218e-01,3.737595e+00
7.266519e-01,4.085299e+00
3.498758e-01,4.606217e+00
-7.065355e-01,3.158028e+00
5.044440e-01,4.274055e+00
1.394596e+00,4.432954e+00
8.185575e-01,5.919600e+00
1.243765e+00,5.927406e+00
-3.128618e-01,3.439013e+00
7.935950e-01,4.233976e+00
-1.221091e+00,2.911950e+00
-3.512517e-01,4.029737e+00
-1.749648e-01,5.524905e+00
6.629669e-02,3.911828e+00
-1.025353e-01,5.079828e+00
-7.807121e-01,3.428609e+00
8.314285e-01,5.831543e+00
-5.958764e-01,3.229725e+00
3.370098e-01,3.818228e+00
-2.286101e-01,3.447016e+00
8.655049e-01,5.312846e+00
6.620850e-01,4.305990e+00
-3.509911e-01,5.274307e+00
-6.444221e-01,5.266013e+00
