k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,1.914091e+03,4.440829e+03,4.440829e+01
1.731168e-03,1.935565e+03,4.227612e+03,4.227612e+01
3.462337e-03,1.825586e+03,3.924022e+03,3.924022e+01
5.193505e-03,1.694439e+03,3.594015e+03,3.594015e+01
6.924674e-03,1.565506e+03,3.162445e+03,3.162445e+01
8.655842e-03,1.441038e+03,3.053656e+03,3.053656e+01
1.038701e-02,1.358487e+03,2.731207e+03,2.731207e+01
1.211818e-02,1.251587e+03,2.471718e+03,2.471718e+01
1.384935e-02,1.153248e+03,2.214774e+03,2.214774e+01
1.558052e-02,1.092044e+03,2.023915e+03,2.023915e+01
1.731168e-02,1.011434e+03,1.899029e+03,1.899029e+01
1.904285e-02,9.361083e+02,1.664164e+03,1.664164e+01
2.077402e-02,8.697870e+02,1.570248e+03,1.570248e+01
2.250519e-02,8.078259e+02,1.409291e+03,1.409291e+01
2.423636e-02,7.336651e+02,1.261410e+03,1.261410e+01
2.596753e-02,6.884724e+02,1.169649e+03,1.169649e+01
2.769869e-02,6.422899e+02,1.082303e+03,1.082303e+01
2.942986e-02,5.850133e+02,1.002048e+03,1.002048e+01
3.116103e-02,5.402115e+02,8.744784e+02,8.744784e+00
3.289220e-02,4.986258e+02,8.271998e+02,8.271998e+00
3.462337e-02,4.674025e+02,7.811498e+02,7.811498e+00
3.635454e-02,4.226944e+02,7.197400e+02,7.197400e+00
3.808571e-02,3.936751e+02,6.681941e+02,6.681941e+00
3.981687e-02,3.693762e+02,6.026287e+02,6.026287e+00
4.154804e-02,3.358001e+02,5.405526e+02,5.405526e+00
4.327921e-02,3.071184e+02,4.846086e+02,4.846086e+00
4.501038e-02,2.842636e+02,4.499171e+02,4.499171e+00
4.674155e-02,2.635714e+02,4.184809e+02,4.184809e+00
4.847272e-02,2.383832e+02,3.605443e+02,3.605443e+00
5.020388e-02,2.189182e+02,3.464993e+02,3.464993e+00
5.193505e-02,2.025133e+02,3.108488e+02,3.108488e+00
5.366622e-02,1.850700e+02,2.869221e+02,2.869221e+00
5.539739e-02,1.656121e+02,2.471542e+02,2.471542e+00
5.712856e-02,1.537260e+02,2.330967e+02,2.330967e+00
5.885973e-02,1.431384e+02,2.185204e+02,2.185204e+00
6.059089e-02,1.326057e+02,2.027881e+02,2.027881e+00
6.232206e-02,1.235341e+02,1.901366e+02,1.901366e+00
6.405323e-02,1.122305e+02,1.693417e+02,1.693417e+00
6.578440e-02,1.038419e+02,1.591787e+02,1.591787e+00
6.751557e-02,9.763320e+01,1.574957e+02,1.574957e+00
6.924674e-02,8.970326e+01,1.369600e+02,1.369600e+00
7.097790e-02,8.280870e+01,1.307753e+02,1.307753e+00
7.270907e-02,7.640878e+01,1.184379e+02,1.184379e+00
7.444024e-02,7.183726e+01,1.146117e+02,1.146117e+00
7.617141e-02,6.741706e+01,1.040360e+02,1.040360e+00
7.790258e-02,6.062682e+01,9.399996e+01,9.399996e-01
7.963375e-02,5.886620e+01,9.413257e+01,9.413257e-01
8.136492e-02,5.487578e+01,8.578860e+01,8.578860e-01
8.309608e-02,5.092041e+01,8.000827e+01,8.000827e-01
8.482725e-02,4.865638e+01,7.581155e+01,7.581155e-01
8.655842e-02,4.544015e+01,7.258363e+01,7.258363e-01
8.828959e-02,4.293180e+01,6.894397e+01,6.894397e-01
9.002076e-02,4.047462e+01,6.745345e+01,6.745345e-01
9.175193e-02,3.830812e+01,6.578381e+01,6.578381e-01
9.348309e-02,3.753174e+01,6.982835e+01,6.982835e-01
9.521426e-02,3.611032e+01,6.826538e+01,6.826538e-01
9.694543e-02,3.423403e+01,7.188501e+01,7.188501e-01
9.867660e-02,3.323199e+01,7.270914e+01,7.270914e-01
1.004078e-01,3.222586e+01,7.815547e+01,7.815547e-01
1.021389e-01,3.176208e+01,8.502747e+01,8.502747e-01
1.038701e-01,3.127010e+01,8.166235e+01,8.166235e-01
1.056013e-01,3.070848e+01,9.883370e+01,9.883370e-01
1.073324e-01,3.060812e+01,9.227063e+01,9.227063e-01
1.090636e-01,2.982292e+01,1.093988e+02,1.093988e+00
1.107948e-01,3.061839e+01,1.036601e+02,1.036601e+00
1.125259e-01,3.085106e+01,1.184660e+02,1.184660e+00
1.142571e-01,3.077589e+01,1.178839e+02,1.178839e+00
1.159883e-01,3.127939e+01,1.229981e+02,1.229981e+00
1.177195e-01,3.259236e+01,1.276492e+02,1.276492e+00
1.194506e-01,3.239067e+01,1.338067e+02,1.338067e+00
1.211818e-01,3.343879e+01,1.336696e+02,1.336696e+00
1.229130e-01,3.446176e+01,1.406506e+02,1.406506e+00
1.246441e-01,3.527423e+01,1.385198e+02,1.385198e+00
1.263753e-01,3.659994e+01,1.474329e+02,1.474329e+00
1.281065e-01,3.729187e+01,1.448631e+02,1.448631e+00
1.298376e-01,3.894587e+01,1.515934e+02,1.515934e+00
1.315688e-01,3.961879e+01,1.462572e+02,1.462572e+00
1.333000e-01,4.121918e+01,1.503305e+02,1.503305e+00
1.350311e-01,4.299981e+01,1.536342e+02,1.536342e+00
1.367623e-01,4.423927e+01,1.514858e+02,1.514858e+00
1.384935e-01,4.614121e+01,1.587514e+02,1.587514e+00
1.402246e-01,4.726632e+01,1.585821e+02,1.585821e+00
1.419558e-01,4.865850e+01,1.658071e+02,1.658071e+00
1.436870e-01,5.032337e+01,1.671453e+02,1.671453e+00
1.454181e-01,5.158496e+01,1.717334e+02,1.717334e+00
1.471493e-01,5.333649e+01,1.756615e+02,1.756615e+00
1.488805e-01,5.425245e+01,1.733323e+02,1.733323e+00
1.506117e-01,5.596123e+01,1.761447e+02,1.761447e+00
1.523428e-01,5.589822e+01,1.706261e+02,1.706261e+00
1.540740e-01,5.752493e+01,1.680612e+02,1.680612e+00
1.558052e-01,5.902866e+01,1.691576e+02,1.691576e+00
1.575363e-01,6.003282e+01,1.681409e+02,1.681409e+00
1.592675e-01,5.921434e+01,1.611182e+02,1.611182e+00
1.609987e-01,5.912483e+01,1.562985e+02,1.562985e+00
1.627298e-01,6.177830e+01,1.647276e+02,1.647276e+00
1.644610e-01,5.923937e+01,1.419343e+02,1.419343e+00
1.661922e-01,6.089946e+01,1.498472e+02,1.498472e+00
1.679233e-01,6.051101e+01,1.454638e+02,1.454638e+00
1.696545e-01,6.049986e+01,1.433103e+02,1.433103e+00
1.713857e-01,5.884387e+01,1.310579e+02,1.310579e+00
1.731168e-01,5.903581e+01,1.267926e+02,1.267926e+00
1.748480e-01,5.775640e+01,1.242131e+02,1.242131e+00
1.765792e-01,5.588229e+01,1.157938e+02,1.157938e+00
1.783103e-01,5.606246e+01,1.199682e+02,1.199682e+00
1.800415e-01,5.482652e+01,1.125810e+02,1.125810e+00
1.817727e-01,5.328763e+01,1.094948e+02,1.094948e+00
1.835039e-01,5.101515e+01,1.025385e+02,1.025385e+00
1.852350e-01,5.131745e+01,1.064591e+02,1.064591e+00
1.869662e-01,4.876073e+01,9.074142e+01,9.074142e-01
1.886974e-01,4.720716e+01,8.910360e+01,8.910360e-01
1.904285e-01,4.524440e+01,8.540929e+01,8.540929e-01
1.921597e-01,4.351406e+01,7.588349e+01,7.588349e-01
1.938909e-01,4.199776e+01,7.375418e+01,7.375418e-01
1.956220e-01,4.000924e+01,6.983332e+01,6.983332e-01
1.973532e-01,3.889582e+01,6.720476e+01,6.720476e-01
1.990844e-01,3.647515e+01,6.052704e+01,6.052704e-01
2.008155e-01,3.530000e+01,5.819585e+01,5.819585e-01
2.025467e-01,3.375569e+01,5.535173e+01,5.535173e-01
2.042779e-01,3.250643e+01,5.331890e+01,5.331890e-01
2.060090e-01,3.023505e+01,4.895707e+01,4.895707e-01
2.077402e-01,2.938807e+01,4.880893e+01,4.880893e-01
2.094714e-01,2.817265e+01,4.571791e+01,4.571791e-01
2.112025e-01,2.706420e+01,4.385821e+01,4.385821e-01
2.129337e-01,2.576070e+01,4.107934e+01,4.107934e-01
2.146649e-01,2.473081e+01,4.002417e+01,4.002417e-01
2.163961e-01,2.323706e+01,3.839612e+01,3.839612e-01
2.181272e-01,2.220652e+01,3.642751e+01,3.642751e-01
2.198584e-01,2.094358e+01,3.378305e+01,3.378305e-01
2.215896e-01,2.094394e+01,3.565474e+01,3.565474e-01
2.233207e-01,1.940684e+01,3.260826e+01,3.260826e-01
2.250519e-01,1.863439e+01,3.245551e+01,3.245551e-01
2.267831e-01,1.821446e+01,3.173474e+01,3.173474e-01
2.285142e-01,1.725018e+01,3.112159e+01,3.112159e-01
2.302454e-01,1.689046e+01,3.173534e+01,3.173534e-01
2.319766e-01,1.605988e+01,3.049292e+01,3.049292e-01
2.337077e-01,1.540025e+01,3.120829e+01,3.120829e-01
2.354389e-01,1.486022e+01,3.048824e+01,3.048824e-01
2.371701e-01,1.428527e+01,3.084430e+01,3.084430e-01
2.389012e-01,1.380717e+01,2.943569e+01,2.943569e-01
2.406324e-01,1.337054e+01,3.050338e+01,3.050338e-01
2.423636e-01,1.295768e+01,2.930348e+01,2.930348e-01
2.440947e-01,1.234382e+01,2.878823e+01,2.878823e-01
2.458259e-01,1.205104e+01,2.917203e+01,2.917203e-01
2.475571e-01,1.170318e+01,2.828849e+01,2.828849e-01
2.492883e-01,1.092891e+01,2.616853e+01,2.616853e-01
2.510194e-01,1.078409e+01,2.842045e+01,2.842045e-01
2.527506e-01,1.047211e+01,2.614268e+01,2.614268e-01
2.544818e-01,1.003949e+01,2.445528e+01,2.445528e-01
2.562129e-01,9.938040e+00,2.638153e+01,2.638153e-01
2.579441e-01,9.619360e+00,2.454485e+01,2.454485e-01
2.596753e-01,9.329714e+00,2.449425e+01,2.449425e-01
2.614064e-01,9.076468e+00,2.433635e+01,2.433635e-01
2.631376e-01,8.704980e+00,2.334541e+01,2.334541e-01
2.648688e-01,8.576821e+00,2.392989e+01,2.392989e-01
2.665999e-01,8.256246e+00,2.314260e+01,2.314260e-01
2.683311e-01,8.340933e+00,2.418326e+01,2.418326e-01
2.700623e-01,8.120061e+00,2.377427e+01,2.377427e-01
2.717934e-01,7.905988e+00,2.322413e+01,2.322413e-01
2.735246e-01,7.772175e+00,2.393614e+01,2.393614e-01
