N_HI,b_param_km_s
6.527119e+13,2.994501e+01
8.135533e+13,2.703926e+01
5.848312e+13,1.879132e+01
1.460050e+12,2.543250e+01
9.369193e+13,4.769560e+01
8.913926e+12,2.365688e+01
2.074137e+12,2.087883e+01
4.987873e+12,1.966403e+01
1.149578e+12,2.330101e+01
1.855058e+13,5.687403e+01
2.379332e+14,4.388955e+01
8.714478e+13,3.044790e+01
1.077438e+14,3.869514e+01
3.460925e+12,2.239565e+01
1.492150e+13,1.667820e+01
3.618642e+13,6.188754e+01
3.618642e+13,6.188697e+01
7.086966e+12,2.054771e+01
4.403978e+13,3.265772e+01
3.806298e+12,2.521929e+01
1.507963e+14,2.139559e+01
2.195565e+14,4.380295e+01
8.864831e+12,2.527073e+01
1.405203e+15,4.870747e+01
2.033162e+14,2.670698e+01
4.679424e+12,2.130537e+01
2.732007e+14,3.522006e+01
1.359808e+14,6.043379e+01
4.141547e+13,1.997428e+01
1.182338e+12,1.868873e+01
4.939554e+12,2.216659e+01
1.247333e+14,3.774586e+01
1.684169e+14,2.415840e+01
1.878093e+13,2.290634e+01
6.072285e+12,2.185744e+01
5.653915e+14,2.956290e+01
5.653915e+14,2.956291e+01
3.998036e+13,2.252450e+01
1.147446e+14,2.810108e+01
5.957952e+12,2.905769e+01
1.295606e+14,2.811041e+01
3.516989e+13,1.924326e+01
6.878170e+13,2.189526e+01
3.615985e+13,5.763854e+01
3.615985e+13,5.763853e+01
4.676200e+13,3.920803e+01
5.066655e+12,4.135769e+01
6.356178e+13,2.049861e+01
1.140428e+13,4.016169e+01
1.950920e+12,2.126666e+01
1.403657e+13,2.300553e+01
4.377486e+12,3.153898e+01
7.846016e+13,3.107134e+01
6.221903e+12,1.743379e+01
5.144338e+13,3.025067e+01
2.714672e+13,2.457085e+01
8.884052e+13,3.785841e+01
8.884052e+13,3.785949e+01
1.212342e+13,2.519535e+01
2.050932e+13,2.139994e+01
3.796166e+13,2.735317e+01
3.795710e+12,2.124055e+01
3.692266e+19,1.566500e+01
4.718060e+13,3.345394e+01
4.329758e+13,2.782459e+01
1.248613e+18,1.552129e+01
3.879939e+13,2.662498e+01
3.900317e+14,4.629318e+01
6.920650e+13,4.238360e+01
2.788050e+14,5.961363e+01
2.788050e+14,5.961359e+01
5.016400e+13,2.866419e+01
2.099381e+12,2.286199e+01
3.944392e+13,3.403641e+01
3.048602e+13,3.629714e+01
2.022710e+13,1.850757e+01
9.287041e+14,2.464174e+01
3.669623e+14,2.688599e+01
1.745900e+14,2.734823e+01
1.084843e+13,1.999296e+01
3.658683e+12,1.940449e+01
5.975537e+13,5.329135e+01
4.066919e+14,6.834800e+01
4.066919e+14,2.626832e+01
2.174774e+13,6.568192e+01
1.371815e+14,4.153299e+01
3.567298e+14,3.541043e+01
1.046559e+13,3.833330e+01
6.583291e+12,3.930871e+01
7.435313e+17,2.483167e+01
7.435313e+17,2.865738e+01
1.269998e+14,3.651494e+01
9.695205e+13,2.278515e+01
8.328492e+12,3.143164e+01
2.559043e+13,2.152831e+01
1.809667e+13,1.644571e+01
1.217499e+14,4.348390e+01
3.130266e+12,2.052637e+01
5.509193e+12,1.684133e+01
4.023811e+13,4.590110e+01
9.154995e+12,2.506466e+01
1.304968e+13,2.134027e+01
2.102464e+14,5.012630e+01
2.102464e+14,5.012071e+01
4.792058e+13,3.092196e+01
2.323514e+14,4.119650e+01
6.012173e+13,2.087719e+01
9.921089e+12,4.055582e+01
3.894178e+14,4.017118e+01
3.397152e+14,2.379167e+01
3.397152e+14,2.379167e+01
3.769630e+14,2.687788e+01
1.456919e+13,1.825938e+01
9.680718e+12,1.839653e+01
6.599513e+13,2.134010e+01
1.017921e+14,6.266504e+01
1.017921e+14,6.266516e+01
2.385853e+13,2.176095e+01
7.244247e+12,1.575250e+01
2.145213e+13,2.394323e+01
1.218798e+14,7.875044e+01
1.449526e+13,1.945115e+01
7.557595e+12,5.072128e+01
2.150715e+13,2.145105e+01
2.098437e+13,2.138297e+01
7.059171e+13,2.306149e+01
1.012161e+14,2.537520e+01
2.456372e+13,2.050105e+01
2.043459e+13,2.807282e+01
6.630868e+13,3.978479e+01
6.647805e+12,1.913722e+01
1.250471e+14,3.251205e+01
2.956667e+12,1.876028e+01
8.562659e+13,3.216405e+01
2.417077e+13,4.751646e+01
5.811281e+13,3.862401e+01
9.792964e+12,3.048424e+01
1.094600e+13,2.583555e+01
1.985307e+13,2.633102e+01
4.731144e+13,4.019660e+01
1.399608e+14,3.689005e+01
5.565420e+12,5.975390e+01
4.190541e+13,2.323380e+01
4.190541e+13,3.056343e+01
8.495641e+13,3.447468e+01
8.495641e+13,3.447569e+01
1.770588e+14,3.092754e+01
4.865899e+13,5.059483e+01
2.689001e+13,1.690287e+01
5.019536e+13,2.339652e+01
1.531184e+12,3.208268e+01
1.760961e+13,2.021174e+01
1.263499e+12,2.182269e+01
5.626279e+12,6.132108e+01
1.882046e+13,2.077799e+01
1.729111e+13,1.765099e+01
1.449941e+12,2.759372e+01
2.276585e+12,2.148557e+01
1.552359e+14,7.884780e+01
1.455701e+17,1.894754e+01
1.356970e+13,6.094533e+01
1.356970e+13,6.094509e+01
6.426207e+12,3.389695e+01
1.726821e+13,2.281293e+01
7.429115e+13,3.310311e+01
2.532077e+13,3.656661e+01
1.263739e+14,2.772422e+01
5.459655e+13,6.882872e+01
3.549972e+13,1.959592e+01
2.652997e+12,2.388988e+01
5.775267e+13,2.226029e+01
7.559704e+12,3.046363e+01
7.559704e+12,3.046363e+01
1.452428e+13,2.117294e+01
2.268860e+13,1.909031e+01
4.191842e+13,2.467215e+01
1.512276e+14,3.239413e+01
1.090714e+14,3.602059e+01
2.165208e+13,1.684847e+01
5.529671e+13,2.933897e+01
1.408258e+12,1.753997e+01
1.260920e+13,2.677739e+01
2.107890e+13,2.208069e+01
5.790050e+12,2.956844e+01
1.307060e+13,1.670992e+01
1.986064e+13,2.720949e+01
1.231804e+13,2.131941e+01
1.892483e+12,4.671980e+01
2.100369e+13,2.024903e+01
5.159634e+14,3.040203e+01
1.606944e+14,5.303400e+01
1.932931e+13,2.712898e+01
1.654907e+13,2.153595e+01
3.040142e+13,3.153759e+01
1.138990e+13,1.810996e+01
9.001765e+12,1.929261e+01
1.400385e+14,5.243207e+01
4.960953e+13,4.775748e+01
1.713990e+13,2.507463e+01
2.079571e+13,1.913776e+01
1.171129e+14,3.097517e+01
4.496472e+12,2.377305e+01
1.003003e+12,1.847562e+01
3.393371e+18,1.543587e+01
2.498072e+16,2.225204e+01
2.608630e+14,3.777975e+01
6.451419e+13,2.016796e+01
3.954781e+12,1.950403e+01
1.713382e+13,2.295278e+01
2.619931e+13,4.306055e+01
7.755388e+13,3.130913e+01
2.283118e+13,6.814417e+01
2.283118e+13,6.814409e+01
6.505648e+13,3.307943e+01
1.354543e+16,2.543881e+01
8.398010e+13,2.847138e+01
3.443290e+13,3.535344e+01
1.080989e+13,3.377227e+01
3.825828e+12,2.612368e+01
1.763865e+12,2.033406e+01
1.743097e+13,2.828366e+01
1.160639e+13,1.842509e+01
7.662501e+12,2.379002e+01
4.112732e+14,2.445775e+01
9.383020e+13,2.340009e+01
4.119023e+12,1.805711e+01
2.821594e+12,3.290227e+01
3.917814e+13,7.143084e+01
3.917814e+13,7.143005e+01
1.259044e+13,5.585920e+01
6.991234e+12,1.723646e+01
5.882350e+13,2.842906e+01
2.442798e+13,2.901737e+01
1.163916e+13,2.599502e+01
1.336496e+13,2.023549e+01
7.581505e+13,4.156333e+01
1.695574e+14,5.505717e+01
1.174997e+16,2.185348e+01
3.698047e+12,1.783292e+01
6.083016e+13,2.136704e+01
1.972647e+13,1.919718e+01
4.640646e+13,1.868907e+01
4.197390e+13,3.955578e+01
1.283465e+15,3.218227e+01
7.161483e+13,3.058870e+01
2.967949e+13,7.283407e+01
2.967949e+13,7.283430e+01
1.337546e+13,2.276998e+01
1.220834e+13,3.013041e+01
1.459027e+12,5.137634e+01
9.788260e+12,2.649327e+01
1.132635e+14,3.829376e+01
1.670203e+13,2.370539e+01
4.716324e+13,3.051534e+01
1.065143e+12,1.676567e+01
2.040529e+13,3.006327e+01
3.425492e+13,2.500701e+01
2.057866e+13,3.316599e+01
5.195399e+14,3.479569e+01
5.443158e+12,2.222732e+01
2.138872e+14,4.021443e+01
2.490188e+13,2.055759e+01
1.540088e+13,2.287896e+01
5.100224e+13,2.746635e+01
5.100224e+13,2.746632e+01
1.873426e+13,1.837157e+01
2.879700e+14,4.976196e+01
1.799414e+12,4.694578e+01
1.337922e+13,2.198728e+01
7.300260e+12,1.907406e+01
2.724727e+14,7.995565e+01
2.724727e+14,7.995476e+01
3.760317e+13,3.141507e+01
1.719636e+13,1.878170e+01
1.467349e+12,2.486491e+01
4.735723e+13,2.669092e+01
1.297780e+13,1.785262e+01
5.363353e+14,3.224689e+01
3.345382e+13,2.484558e+01
2.824447e+13,3.726298e+01
4.979177e+14,3.540261e+01
2.111634e+13,2.785865e+01
3.162074e+13,3.164777e+01
2.371052e+13,5.305276e+01
1.144048e+12,1.778268e+01
