k_s_per_km,P_k_mean_km_per_s,P_k_std,P_k_err
0.000000e+00,3.971918e+00,3.899466e+01,1.233119e+00
4.430464e-04,2.835074e+00,6.570075e+00,2.077640e-01
8.860928e-04,2.587815e+00,4.667567e+00,1.476014e-01
1.329139e-03,2.177204e+00,3.343111e+00,1.057185e-01
1.772186e-03,1.934220e+00,3.017995e+00,9.543739e-02
2.215232e-03,1.692968e+00,2.579684e+00,8.157678e-02
2.658278e-03,1.308957e+00,1.699691e+00,5.374894e-02
3.101325e-03,1.148549e+00,1.582162e+00,5.003234e-02
3.544371e-03,1.005354e+00,1.341624e+00,4.242588e-02
3.987417e-03,8.779596e-01,1.212379e+00,3.833878e-02
4.430464e-03,7.436410e-01,1.014670e+00,3.208668e-02
4.873510e-03,6.602145e-01,9.215221e-01,2.914109e-02
5.316557e-03,5.572088e-01,7.112583e-01,2.249196e-02
5.759603e-03,4.813385e-01,6.186095e-01,1.956215e-02
6.202649e-03,4.319987e-01,5.830761e-01,1.843848e-02
6.645696e-03,3.862179e-01,5.529379e-01,1.748543e-02
7.088742e-03,3.414561e-01,5.868044e-01,1.855639e-02
7.531789e-03,2.759755e-01,3.988249e-01,1.261195e-02
7.974835e-03,2.444302e-01,3.283017e-01,1.038181e-02
8.417881e-03,2.121054e-01,2.721513e-01,8.606181e-03
8.860928e-03,1.821641e-01,2.428779e-01,7.680474e-03
9.303974e-03,1.566506e-01,2.059696e-01,6.513331e-03
9.747021e-03,1.473312e-01,1.969144e-01,6.226980e-03
1.019007e-02,1.187105e-01,1.476647e-01,4.669568e-03
1.063311e-02,1.110493e-01,1.431944e-01,4.528205e-03
1.107616e-02,9.565156e-02,1.264939e-01,4.000089e-03
1.151921e-02,8.993797e-02,1.146820e-01,3.626564e-03
1.196225e-02,7.815648e-02,1.034353e-01,3.270912e-03
1.240530e-02,7.132525e-02,1.010783e-01,3.196375e-03
1.284835e-02,6.345040e-02,7.912494e-02,2.502150e-03
1.329139e-02,5.415417e-02,6.607695e-02,2.089537e-03
1.373444e-02,5.021251e-02,6.386970e-02,2.019737e-03
1.417748e-02,4.255391e-02,5.284439e-02,1.671086e-03
1.462053e-02,4.068377e-02,5.288629e-02,1.672411e-03
1.506358e-02,3.281068e-02,4.375190e-02,1.383557e-03
