# T0 = 11118.843237840036 K
# gamma = 1.3707981151032684
# gamma_err = 0.44249884387572086
# n_pixels = 2411542
log_density,log_temperature
4.883429e-01,5.106739e+00
1.239501e+00,4.553709e+00
-6.384007e-01,4.627145e+00
-7.823048e-01,3.317711e+00
-8.203818e-01,3.217380e+00
-3.811563e-01,3.469557e+00
-9.084876e-02,4.672273e+00
1.097432e+00,4.328379e+00
1.765651e-01,3.796043e+00
9.224944e-01,4.224160e+00
8.206105e-01,4.291476e+00
-9.802290e-01,3.121438e+00
-9.761632e-01,3.123631e+00
-2.498435e-01,5.989789e+00
-8.803877e-02,5.965612e+00
2.538726e-01,5.823791e+00
5.230435e-01,5.628702e+00
4.481567e-01,5.785581e+00
6.348021e-01,5.939897e+00
9.797805e-01,6.135614e+00
5.941801e-01,5.701458e+00
1.484637e+00,5.746005e+00
-6.353001e-01,4.522053e+00
-5.809388e-01,4.061485e+00
-5.182778e-01,3.390272e+00
-9.632764e-01,3.140812e+00
-6.828544e-01,3.394713e+00
5.334660e-02,3.762588e+00
-3.285010e-02,3.671458e+00
-4.448840e-01,4.587323e+00
-8.908519e-01,4.063746e+00
1.152184e+00,5.622535e+00
1.541815e+00,6.092762e+00
1.209968e+00,6.068077e+00
1.606105e+00,5.764088e+00
1.370971e+00,5.905556e+00
2.797949e-01,5.739310e+00
4.855054e-01,4.100347e+00
8.630723e-01,4.188020e+00
-3.508313e-02,4.128989e+00
-6.147754e-01,3.334508e+00
2.038252e-01,3.813808e+00
1.932690e-01,3.828004e+00
6.060979e-01,4.344054e+00
-4.805685e-02,3.823883e+00
-9.136342e-01,3.243638e+00
2.202484e-01,4.187817e+00
6.572254e-01,4.176842e+00
-7.712456e-01,3.245191e+00
-6.545973e-01,3.326051e+00
-7.658197e-01,3.284749e+00
-3.789094e-01,3.478833e+00
-1.725225e-01,3.594735e+00
-2.261447e-01,3.566765e+00
-4.548549e-01,3.445050e+00
-1.273845e-01,3.613711e+00
-8.435617e-02,3.642238e+00
-7.692207e-01,3.626944e+00
9.676664e-01,4.785705e+00
-1.405328e-02,5.413900e+00
1.124246e-01,5.553959e+00
-1.609086e-01,5.576280e+00
-9.897459e-01,3.120187e+00
-5.003217e-01,3.487454e+00
-6.758534e-01,3.320054e+00
-4.131306e-01,3.460473e+00
-3.126896e-01,3.512034e+00
-9.275331e-01,3.148266e+00
-2.002888e-02,4.298213e+00
-9.466278e-01,3.506746e+00
-1.179407e+00,3.024535e+00
