k_s_per_km,kPk_pi_Ω_m__0.30,kPk_pi_Ω_m__0.40,kPk_pi_Ω_m__0.50,kPk_pi_Ω_m__0.20,kPk_pi_Ω_m__0.10
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.863859e-03,5.107331e-01,3.054910e-01,3.271384e-01,5.946600e-01,1.446011e+00
3.727717e-03,9.442608e-01,5.557799e-01,5.853502e-01,1.108954e+00,2.825917e+00
5.591576e-03,1.243935e+00,7.308508e-01,7.625721e-01,1.517368e+00,4.046971e+00
7.455434e-03,1.478600e+00,8.481530e-01,8.616959e-01,1.837026e+00,5.098260e+00
9.319293e-03,1.617471e+00,9.581012e-01,9.618394e-01,2.100425e+00,6.030453e+00
1.118315e-02,1.777199e+00,1.025489e+00,1.000173e+00,2.283601e+00,6.817442e+00
1.304701e-02,1.850512e+00,1.064577e+00,1.044383e+00,2.459959e+00,7.557994e+00
1.491087e-02,1.903396e+00,1.104959e+00,1.029166e+00,2.585102e+00,8.171954e+00
1.677473e-02,1.977733e+00,1.102298e+00,1.017879e+00,2.674703e+00,8.746852e+00
1.863859e-02,1.953031e+00,1.101417e+00,9.828542e-01,2.750048e+00,9.277571e+00
2.050244e-02,1.936949e+00,1.084885e+00,9.646071e-01,2.821881e+00,9.647741e+00
2.236630e-02,1.944923e+00,1.067011e+00,9.393249e-01,2.786118e+00,9.957817e+00
2.423016e-02,1.865081e+00,1.043281e+00,8.943294e-01,2.802256e+00,1.009806e+01
2.609402e-02,1.822900e+00,1.029858e+00,8.445476e-01,2.810084e+00,1.027594e+01
2.795788e-02,1.771500e+00,9.706468e-01,8.136995e-01,2.778233e+00,1.052347e+01
2.982174e-02,1.737941e+00,9.376133e-01,7.721146e-01,2.704573e+00,1.068870e+01
3.168560e-02,1.622642e+00,9.103877e-01,7.210573e-01,2.639162e+00,1.080857e+01
3.354945e-02,1.572305e+00,8.720997e-01,6.729984e-01,2.574371e+00,1.084359e+01
3.541331e-02,1.521091e+00,8.202706e-01,6.281275e-01,2.503246e+00,1.084739e+01
3.727717e-02,1.465786e+00,7.737324e-01,5.938681e-01,2.402944e+00,1.076640e+01
3.914103e-02,1.402782e+00,7.290477e-01,5.558251e-01,2.290492e+00,1.067728e+01
4.100489e-02,1.299557e+00,6.921013e-01,5.092714e-01,2.226219e+00,1.058084e+01
4.286875e-02,1.243253e+00,6.564104e-01,4.732229e-01,2.173431e+00,1.043574e+01
4.473261e-02,1.161718e+00,6.086772e-01,4.395011e-01,2.095189e+00,1.028213e+01
4.659646e-02,1.088838e+00,5.720564e-01,4.035403e-01,2.012485e+00,1.014535e+01
4.846032e-02,1.066466e+00,5.285267e-01,3.750611e-01,1.920914e+00,9.950282e+00
5.032418e-02,9.916640e-01,4.978143e-01,3.445365e-01,1.819161e+00,9.670564e+00
5.218804e-02,9.149226e-01,4.587208e-01,3.247441e-01,1.747798e+00,9.368812e+00
5.405190e-02,8.823038e-01,4.287987e-01,3.047152e-01,1.637171e+00,9.057692e+00
5.591576e-02,8.178073e-01,3.944087e-01,2.853199e-01,1.557298e+00,8.724883e+00
5.777962e-02,7.754398e-01,3.679461e-01,2.645299e-01,1.496436e+00,8.434348e+00
5.964347e-02,7.100832e-01,3.476115e-01,2.474095e-01,1.430146e+00,8.247878e+00
6.150733e-02,6.658288e-01,3.274284e-01,2.337668e-01,1.335746e+00,8.083893e+00
6.337119e-02,6.269113e-01,3.050501e-01,2.144913e-01,1.265951e+00,7.935978e+00
6.523505e-02,5.801369e-01,2.860556e-01,2.092949e-01,1.212606e+00,7.640482e+00
6.709891e-02,5.532969e-01,2.661932e-01,1.983243e-01,1.143014e+00,7.341235e+00
6.896277e-02,5.198276e-01,2.508004e-01,1.897610e-01,1.069663e+00,7.124150e+00
7.082663e-02,4.927312e-01,2.303343e-01,1.836676e-01,1.007379e+00,6.910445e+00
7.269048e-02,4.636590e-01,2.243502e-01,1.795001e-01,9.381570e-01,6.700633e+00
7.455434e-02,4.378106e-01,2.091419e-01,1.734741e-01,8.813959e-01,6.341999e+00
7.641820e-02,4.099434e-01,1.970658e-01,1.695686e-01,8.367933e-01,5.954125e+00
7.828206e-02,3.869649e-01,1.876880e-01,1.705138e-01,7.900019e-01,5.893340e+00
8.014592e-02,3.626525e-01,1.831771e-01,1.698619e-01,7.456701e-01,5.756667e+00
8.200978e-02,3.359456e-01,1.725962e-01,1.733654e-01,7.196961e-01,5.476757e+00
8.387364e-02,3.298456e-01,1.663344e-01,1.805242e-01,6.762026e-01,5.213761e+00
8.573749e-02,3.108570e-01,1.603478e-01,1.847986e-01,6.436276e-01,4.960272e+00
8.760135e-02,2.958234e-01,1.562648e-01,1.926676e-01,6.115663e-01,4.782055e+00
8.946521e-02,2.868293e-01,1.505645e-01,2.028673e-01,5.801155e-01,4.606966e+00
9.132907e-02,2.787828e-01,1.491366e-01,2.115266e-01,5.500237e-01,4.424463e+00
9.319293e-02,2.726548e-01,1.489866e-01,2.261754e-01,5.177069e-01,4.241606e+00
9.505679e-02,2.590957e-01,1.487741e-01,2.423463e-01,4.879852e-01,4.058424e+00
9.692065e-02,2.523502e-01,1.462248e-01,2.604485e-01,4.637801e-01,3.873756e+00
9.878450e-02,2.424959e-01,1.467462e-01,2.798841e-01,4.375107e-01,3.693092e+00
1.006484e-01,2.414371e-01,1.505134e-01,2.973622e-01,4.122119e-01,3.547725e+00
1.025122e-01,2.389695e-01,1.529391e-01,3.154937e-01,3.956218e-01,3.398491e+00
1.043761e-01,2.375417e-01,1.570623e-01,3.340166e-01,3.739234e-01,3.243513e+00
1.062399e-01,2.359290e-01,1.619033e-01,3.581759e-01,3.586664e-01,3.117238e+00
1.081038e-01,2.416636e-01,1.664458e-01,3.768132e-01,3.441625e-01,3.003420e+00
1.099677e-01,2.423624e-01,1.760616e-01,3.949708e-01,3.313473e-01,2.854313e+00
1.118315e-01,2.460649e-01,1.845431e-01,4.094506e-01,3.206058e-01,2.723155e+00
1.136954e-01,2.553275e-01,1.986332e-01,4.221648e-01,3.090625e-01,2.637843e+00
1.155592e-01,2.556126e-01,2.051462e-01,4.354127e-01,2.972491e-01,2.513625e+00
1.174231e-01,2.668749e-01,2.152133e-01,4.564502e-01,2.845647e-01,2.361072e+00
1.192869e-01,2.744054e-01,2.279464e-01,4.696619e-01,2.695123e-01,2.276934e+00
1.211508e-01,2.826060e-01,2.328240e-01,4.788876e-01,2.560128e-01,2.201076e+00
1.230147e-01,2.922450e-01,2.499614e-01,4.876843e-01,2.492687e-01,2.116676e+00
1.248785e-01,3.083572e-01,2.622584e-01,4.936737e-01,2.449603e-01,2.022209e+00
1.267424e-01,3.247121e-01,2.702132e-01,4.900709e-01,2.362211e-01,1.915930e+00
1.286062e-01,3.422880e-01,2.798012e-01,5.013093e-01,2.282268e-01,1.855199e+00
1.304701e-01,3.641997e-01,2.907982e-01,4.872805e-01,2.221790e-01,1.806489e+00
1.323340e-01,3.887991e-01,3.008556e-01,4.871343e-01,2.167401e-01,1.701677e+00
1.341978e-01,4.067766e-01,3.035712e-01,4.749423e-01,2.081647e-01,1.614976e+00
1.360617e-01,4.358493e-01,3.133387e-01,4.636957e-01,2.064383e-01,1.563131e+00
1.379255e-01,4.543904e-01,3.216419e-01,4.520500e-01,2.029152e-01,1.513381e+00
1.397894e-01,4.701377e-01,3.279191e-01,4.480901e-01,1.976046e-01,1.464827e+00
1.416533e-01,4.993602e-01,3.346750e-01,4.359702e-01,1.919101e-01,1.407122e+00
1.435171e-01,5.184787e-01,3.427602e-01,4.141601e-01,1.877654e-01,1.344904e+00
1.453810e-01,5.462166e-01,3.329059e-01,4.031161e-01,1.866157e-01,1.269396e+00
1.472448e-01,5.695162e-01,3.374736e-01,3.898628e-01,1.876352e-01,1.208917e+00
1.491087e-01,5.930649e-01,3.365738e-01,3.756783e-01,1.867549e-01,1.162459e+00
1.509725e-01,6.182986e-01,3.378389e-01,3.615971e-01,1.846040e-01,1.115894e+00
1.528364e-01,6.359553e-01,3.261302e-01,3.453951e-01,1.835628e-01,1.068932e+00
1.547003e-01,6.592565e-01,3.268369e-01,3.241078e-01,1.868426e-01,1.018823e+00
1.565641e-01,6.745932e-01,3.176212e-01,3.110622e-01,1.884732e-01,9.788195e-01
1.584280e-01,6.708052e-01,3.102237e-01,2.970365e-01,1.887618e-01,9.540454e-01
1.602918e-01,6.972949e-01,2.985468e-01,2.792376e-01,1.903283e-01,9.189585e-01
1.621557e-01,6.885202e-01,2.961955e-01,2.608476e-01,1.947971e-01,8.792933e-01
1.640196e-01,7.134587e-01,2.877301e-01,2.570445e-01,2.012784e-01,8.565366e-01
1.658834e-01,7.253271e-01,2.799406e-01,2.452533e-01,2.020641e-01,8.333825e-01
1.677473e-01,7.249657e-01,2.713549e-01,2.341744e-01,2.139798e-01,8.086111e-01
1.696111e-01,7.305350e-01,2.629913e-01,2.230199e-01,2.219371e-01,7.821230e-01
1.714750e-01,7.275102e-01,2.518005e-01,2.140572e-01,2.257283e-01,7.543592e-01
1.733388e-01,7.377692e-01,2.321223e-01,2.030731e-01,2.301977e-01,7.231679e-01
1.752027e-01,7.229928e-01,2.244178e-01,1.964022e-01,2.421233e-01,6.945133e-01
1.770666e-01,7.201824e-01,2.180637e-01,1.883659e-01,2.448903e-01,6.816945e-01
1.789304e-01,7.177549e-01,2.061641e-01,1.788816e-01,2.543357e-01,6.595440e-01
1.807943e-01,6.896482e-01,1.915094e-01,1.743841e-01,2.646425e-01,6.262488e-01
1.826581e-01,6.696468e-01,1.858656e-01,1.668004e-01,2.728627e-01,6.022337e-01
1.845220e-01,6.758346e-01,1.776224e-01,1.641783e-01,2.787105e-01,5.816339e-01
1.863859e-01,6.458735e-01,1.693330e-01,1.575656e-01,2.864007e-01,5.680337e-01
1.882497e-01,6.296259e-01,1.625526e-01,1.516136e-01,2.956953e-01,5.546655e-01
1.901136e-01,6.124455e-01,1.577100e-01,1.509248e-01,3.066659e-01,5.417511e-01
1.919774e-01,5.936352e-01,1.481271e-01,1.443539e-01,3.123355e-01,5.268021e-01
1.938413e-01,5.705949e-01,1.408719e-01,1.415085e-01,3.160955e-01,5.106629e-01
1.957052e-01,5.474201e-01,1.337623e-01,1.388980e-01,3.278685e-01,4.995993e-01
1.975690e-01,5.222790e-01,1.269501e-01,1.363446e-01,3.282404e-01,4.874611e-01
1.994329e-01,5.055679e-01,1.229032e-01,1.347538e-01,3.319484e-01,4.700187e-01
2.012967e-01,4.860714e-01,1.167068e-01,1.296196e-01,3.371297e-01,4.538703e-01
2.031606e-01,4.713416e-01,1.119244e-01,1.311379e-01,3.428729e-01,4.389496e-01
2.050244e-01,4.565812e-01,1.071625e-01,1.289181e-01,3.473617e-01,4.310029e-01
2.068883e-01,4.320117e-01,1.022378e-01,1.246225e-01,3.463296e-01,4.248406e-01
2.087522e-01,4.003274e-01,9.798701e-02,1.225298e-01,3.434345e-01,4.196874e-01
2.106160e-01,3.882184e-01,9.492250e-02,1.214900e-01,3.452645e-01,4.131650e-01
2.124799e-01,3.689715e-01,9.168279e-02,1.211360e-01,3.454131e-01,4.045384e-01
2.143437e-01,3.522435e-01,8.814248e-02,1.207598e-01,3.436986e-01,3.974889e-01
2.162076e-01,3.392374e-01,8.446666e-02,1.170312e-01,3.443667e-01,3.911533e-01
2.180715e-01,3.216262e-01,8.157056e-02,1.178097e-01,3.466765e-01,3.853028e-01
2.199353e-01,3.080908e-01,7.894062e-02,1.157118e-01,3.399199e-01,3.800417e-01
2.217992e-01,2.898288e-01,7.672160e-02,1.154206e-01,3.333470e-01,3.763034e-01
2.236630e-01,2.774162e-01,7.553540e-02,1.148557e-01,3.314220e-01,3.728337e-01
2.255269e-01,2.690580e-01,7.263230e-02,1.129276e-01,3.309280e-01,3.695667e-01
2.273907e-01,2.560227e-01,7.105316e-02,1.118978e-01,3.169145e-01,3.665483e-01
2.292546e-01,2.480673e-01,6.895925e-02,1.107511e-01,3.150460e-01,3.633995e-01
2.311185e-01,2.363315e-01,6.688392e-02,1.082978e-01,3.064654e-01,3.593439e-01
2.329823e-01,2.303129e-01,6.496234e-02,1.061347e-01,3.008361e-01,3.561536e-01
2.348462e-01,2.178823e-01,6.383969e-02,1.058346e-01,2.952604e-01,3.540148e-01
2.367100e-01,2.114093e-01,6.245049e-02,1.048816e-01,2.822517e-01,3.542510e-01
2.385739e-01,2.006285e-01,6.101795e-02,1.038073e-01,2.744460e-01,3.551873e-01
2.404378e-01,1.894685e-01,5.910206e-02,1.003024e-01,2.628625e-01,3.533633e-01
2.423016e-01,1.835204e-01,5.863507e-02,9.953933e-02,2.511989e-01,3.514634e-01
2.441655e-01,1.756913e-01,5.790619e-02,9.888966e-02,2.410341e-01,3.494107e-01
2.460293e-01,1.710153e-01,5.538398e-02,9.616789e-02,2.328906e-01,3.492305e-01
2.478932e-01,1.653832e-01,5.440867e-02,9.500662e-02,2.261643e-01,3.501657e-01
2.497571e-01,1.627613e-01,5.357406e-02,9.320620e-02,2.204485e-01,3.491283e-01
2.516209e-01,1.567939e-01,5.269671e-02,9.066771e-02,2.097669e-01,3.486880e-01
2.534848e-01,1.489584e-01,5.173124e-02,8.758544e-02,1.980770e-01,3.510592e-01
2.553486e-01,1.452017e-01,4.962386e-02,8.547043e-02,1.884386e-01,3.521345e-01
2.572125e-01,1.437199e-01,4.985157e-02,8.347796e-02,1.816115e-01,3.519560e-01
2.590763e-01,1.373539e-01,4.883685e-02,8.192047e-02,1.710310e-01,3.568489e-01
2.609402e-01,1.357239e-01,4.757439e-02,7.941445e-02,1.636607e-01,3.623345e-01
2.628041e-01,1.343157e-01,4.680855e-02,7.760492e-02,1.562699e-01,3.616140e-01
2.646679e-01,1.289758e-01,4.581528e-02,7.595359e-02,1.481894e-01,3.619021e-01
2.665318e-01,1.278724e-01,4.469306e-02,7.164395e-02,1.403616e-01,3.637692e-01
2.683956e-01,1.252511e-01,4.360582e-02,7.113484e-02,1.350568e-01,3.665160e-01
2.702595e-01,1.216806e-01,4.241805e-02,6.774825e-02,1.277312e-01,3.696700e-01
2.721234e-01,1.215084e-01,4.172736e-02,6.609095e-02,1.218172e-01,3.670015e-01
