k_s_per_km,kPk_pi_p1_0,kPk_pi_p2_0,kPk_pi_p7_0,kPk_pi_p8_0,kPk_pi_p9_0
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.430464e-04,4.583688e-04,4.583688e-04,4.583688e-04,4.583688e-04,4.583688e-04
8.860928e-04,7.606389e-04,7.606389e-04,7.606389e-04,7.606389e-04,7.606389e-04
1.329139e-03,9.627988e-04,9.627988e-04,9.627988e-04,9.627988e-04,9.627988e-04
1.772186e-03,1.097748e-03,1.097748e-03,1.097748e-03,1.097748e-03,1.097748e-03
2.215232e-03,1.216799e-03,1.216799e-03,1.216799e-03,1.216799e-03,1.216799e-03
2.658278e-03,1.234582e-03,1.234582e-03,1.234582e-03,1.234582e-03,1.234582e-03
3.101325e-03,1.236865e-03,1.236865e-03,1.236865e-03,1.236865e-03,1.236865e-03
3.544371e-03,1.208511e-03,1.208511e-03,1.208511e-03,1.208511e-03,1.208511e-03
3.987417e-03,1.150735e-03,1.150735e-03,1.150735e-03,1.150735e-03,1.150735e-03
4.430464e-03,1.109649e-03,1.109649e-03,1.109649e-03,1.109649e-03,1.109649e-03
4.873510e-03,1.075555e-03,1.075555e-03,1.075555e-03,1.075555e-03,1.075555e-03
5.316557e-03,1.018941e-03,1.018941e-03,1.018941e-03,1.018941e-03,1.018941e-03
5.759603e-03,9.742759e-04,9.742759e-04,9.742759e-04,9.742759e-04,9.742759e-04
6.202649e-03,9.058201e-04,9.058201e-04,9.058201e-04,9.058201e-04,9.058201e-04
6.645696e-03,8.430352e-04,8.430352e-04,8.430352e-04,8.430352e-04,8.430352e-04
7.088742e-03,7.861448e-04,7.861448e-04,7.861448e-04,7.861448e-04,7.861448e-04
7.531789e-03,7.283839e-04,7.283839e-04,7.283839e-04,7.283839e-04,7.283839e-04
7.974835e-03,6.772813e-04,6.772813e-04,6.772813e-04,6.772813e-04,6.772813e-04
8.417881e-03,6.253732e-04,6.253732e-04,6.253732e-04,6.253732e-04,6.253732e-04
8.860928e-03,5.775028e-04,5.775028e-04,5.775028e-04,5.775028e-04,5.775028e-04
9.303974e-03,5.377790e-04,5.377790e-04,5.377790e-04,5.377790e-04,5.377790e-04
9.747021e-03,5.122714e-04,5.122714e-04,5.122714e-04,5.122714e-04,5.122714e-04
1.019007e-02,4.699506e-04,4.699506e-04,4.699506e-04,4.699506e-04,4.699506e-04
1.063311e-02,4.326213e-04,4.326213e-04,4.326213e-04,4.326213e-04,4.326213e-04
1.107616e-02,3.976064e-04,3.976064e-04,3.976064e-04,3.976064e-04,3.976064e-04
1.151921e-02,3.669696e-04,3.669696e-04,3.669696e-04,3.669696e-04,3.669696e-04
1.196225e-02,3.470059e-04,3.470059e-04,3.470059e-04,3.470059e-04,3.470059e-04
1.240530e-02,3.200653e-04,3.200653e-04,3.200653e-04,3.200653e-04,3.200653e-04
1.284835e-02,2.889164e-04,2.889164e-04,2.889164e-04,2.889164e-04,2.889164e-04
1.329139e-02,2.669754e-04,2.669754e-04,2.669754e-04,2.669754e-04,2.669754e-04
1.373444e-02,2.436531e-04,2.436531e-04,2.436531e-04,2.436531e-04,2.436531e-04
1.417748e-02,2.245417e-04,2.245417e-04,2.245417e-04,2.245417e-04,2.245417e-04
1.462053e-02,2.105096e-04,2.105096e-04,2.105096e-04,2.105096e-04,2.105096e-04
1.506358e-02,1.879953e-04,1.879953e-04,1.879953e-04,1.879953e-04,1.879953e-04
1.550662e-02,1.734412e-04,1.734412e-04,1.734412e-04,1.734412e-04,1.734412e-04
1.594967e-02,1.625945e-04,1.625945e-04,1.625945e-04,1.625945e-04,1.625945e-04
1.639272e-02,1.467289e-04,1.467289e-04,1.467289e-04,1.467289e-04,1.467289e-04
1.683576e-02,1.356479e-04,1.356479e-04,1.356479e-04,1.356479e-04,1.356479e-04
1.727881e-02,1.238897e-04,1.238897e-04,1.238897e-04,1.238897e-04,1.238897e-04
1.772186e-02,1.135790e-04,1.135790e-04,1.135790e-04,1.135790e-04,1.135790e-04
1.816490e-02,1.034065e-04,1.034065e-04,1.034065e-04,1.034065e-04,1.034065e-04
1.860795e-02,9.557120e-05,9.557120e-05,9.557120e-05,9.557120e-05,9.557120e-05
1.905099e-02,8.728262e-05,8.728262e-05,8.728262e-05,8.728262e-05,8.728262e-05
1.949404e-02,7.906609e-05,7.906609e-05,7.906609e-05,7.906609e-05,7.906609e-05
1.993709e-02,7.231153e-05,7.231153e-05,7.231153e-05,7.231153e-05,7.231153e-05
2.038013e-02,6.477204e-05,6.477204e-05,6.477204e-05,6.477204e-05,6.477204e-05
2.082318e-02,5.929450e-05,5.929450e-05,5.929450e-05,5.929450e-05,5.929450e-05
2.126623e-02,5.386182e-05,5.386182e-05,5.386182e-05,5.386182e-05,5.386182e-05
2.170927e-02,4.893622e-05,4.893622e-05,4.893622e-05,4.893622e-05,4.893622e-05
2.215232e-02,4.501752e-05,4.501752e-05,4.501752e-05,4.501752e-05,4.501752e-05
2.259537e-02,4.164501e-05,4.164501e-05,4.164501e-05,4.164501e-05,4.164501e-05
2.303841e-02,3.802980e-05,3.802980e-05,3.802980e-05,3.802980e-05,3.802980e-05
2.348146e-02,3.366164e-05,3.366164e-05,3.366164e-05,3.366164e-05,3.366164e-05
2.392450e-02,3.021289e-05,3.021289e-05,3.021289e-05,3.021289e-05,3.021289e-05
2.436755e-02,2.804803e-05,2.804803e-05,2.804803e-05,2.804803e-05,2.804803e-05
2.481060e-02,2.540574e-05,2.540574e-05,2.540574e-05,2.540574e-05,2.540574e-05
2.525364e-02,2.334846e-05,2.334846e-05,2.334846e-05,2.334846e-05,2.334846e-05
2.569669e-02,2.090824e-05,2.090824e-05,2.090824e-05,2.090824e-05,2.090824e-05
2.613974e-02,1.885206e-05,1.885206e-05,1.885206e-05,1.885206e-05,1.885206e-05
2.658278e-02,1.706310e-05,1.706310e-05,1.706310e-05,1.706310e-05,1.706310e-05
2.702583e-02,1.585089e-05,1.585089e-05,1.585089e-05,1.585089e-05,1.585089e-05
2.746888e-02,1.411452e-05,1.411452e-05,1.411452e-05,1.411452e-05,1.411452e-05
2.791192e-02,1.304179e-05,1.304179e-05,1.304179e-05,1.304179e-05,1.304179e-05
2.835497e-02,1.172914e-05,1.172914e-05,1.172914e-05,1.172914e-05,1.172914e-05
2.879802e-02,1.061647e-05,1.061647e-05,1.061647e-05,1.061647e-05,1.061647e-05
2.924106e-02,9.657363e-06,9.657363e-06,9.657363e-06,9.657363e-06,9.657363e-06
2.968411e-02,8.708138e-06,8.708138e-06,8.708138e-06,8.708138e-06,8.708138e-06
3.012715e-02,7.730005e-06,7.730005e-06,7.730005e-06,7.730005e-06,7.730005e-06
3.057020e-02,7.008301e-06,7.008301e-06,7.008301e-06,7.008301e-06,7.008301e-06
3.101325e-02,6.345764e-06,6.345764e-06,6.345764e-06,6.345764e-06,6.345764e-06
3.145629e-02,5.747064e-06,5.747064e-06,5.747064e-06,5.747064e-06,5.747064e-06
3.189934e-02,5.317293e-06,5.317293e-06,5.317293e-06,5.317293e-06,5.317293e-06
3.234239e-02,4.767962e-06,4.767962e-06,4.767962e-06,4.767962e-06,4.767962e-06
3.278543e-02,4.275955e-06,4.275955e-06,4.275955e-06,4.275955e-06,4.275955e-06
3.322848e-02,4.034584e-06,4.034584e-06,4.034584e-06,4.034584e-06,4.034584e-06
3.367153e-02,3.626248e-06,3.626248e-06,3.626248e-06,3.626248e-06,3.626248e-06
3.411457e-02,3.320949e-06,3.320949e-06,3.320949e-06,3.320949e-06,3.320949e-06
