k_s_per_km,kPk_pi_p1_n1,kPk_pi_p2_n1,kPk_pi_p7_n1,kPk_pi_p8_n1,kPk_pi_p9_n1
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.618084e-04,5.724175e-04,5.018371e-04,3.129399e-04,3.142275e-04,4.906969e-04
9.236169e-04,9.788151e-04,8.514109e-04,5.027426e-04,5.393085e-04,8.284893e-04
1.385425e-03,1.237334e-03,1.068866e-03,6.439745e-04,6.875029e-04,1.046649e-03
1.847234e-03,1.423482e-03,1.249167e-03,7.390368e-04,7.874934e-04,1.198336e-03
2.309042e-03,1.550259e-03,1.363254e-03,8.032466e-04,8.571580e-04,1.316911e-03
2.770851e-03,1.580747e-03,1.372424e-03,8.211150e-04,8.674945e-04,1.328148e-03
3.232659e-03,1.580352e-03,1.363483e-03,8.072505e-04,8.668475e-04,1.314477e-03
3.694468e-03,1.562437e-03,1.325488e-03,7.780291e-04,8.342994e-04,1.265612e-03
4.156276e-03,1.471200e-03,1.262587e-03,7.408051e-04,7.965850e-04,1.206068e-03
4.618084e-03,1.413968e-03,1.235369e-03,7.085511e-04,7.611564e-04,1.154513e-03
5.079893e-03,1.362984e-03,1.178626e-03,6.792606e-04,7.221562e-04,1.102063e-03
5.541701e-03,1.287712e-03,1.084078e-03,6.407582e-04,6.770458e-04,1.039488e-03
6.003510e-03,1.179324e-03,1.013383e-03,5.990829e-04,6.335252e-04,9.789100e-04
6.465318e-03,1.122200e-03,9.551213e-04,5.523400e-04,5.913049e-04,9.203107e-04
6.927127e-03,1.032423e-03,8.947423e-04,5.138104e-04,5.501949e-04,8.618129e-04
7.388935e-03,9.678267e-04,8.304587e-04,4.746322e-04,5.029862e-04,7.811044e-04
7.850744e-03,8.888160e-04,7.563054e-04,4.380536e-04,4.625736e-04,7.160602e-04
8.312552e-03,8.079292e-04,7.021570e-04,3.989171e-04,4.238905e-04,6.657257e-04
8.774360e-03,7.627994e-04,6.412298e-04,3.664875e-04,3.889612e-04,6.040315e-04
9.236169e-03,6.830659e-04,5.911472e-04,3.360678e-04,3.574493e-04,5.565345e-04
9.697977e-03,6.459736e-04,5.526541e-04,3.177768e-04,3.309306e-04,5.197867e-04
1.015979e-02,5.928476e-04,5.125367e-04,2.882683e-04,3.045431e-04,4.796186e-04
1.062159e-02,5.476674e-04,4.714083e-04,2.623076e-04,2.788604e-04,4.387544e-04
1.108340e-02,4.954982e-04,4.327919e-04,2.386350e-04,2.564964e-04,4.044667e-04
1.154521e-02,4.587692e-04,3.932006e-04,2.210170e-04,2.337873e-04,3.660823e-04
1.200702e-02,4.146135e-04,3.592900e-04,2.034692e-04,2.154127e-04,3.382980e-04
1.246883e-02,3.820675e-04,3.299334e-04,1.868897e-04,1.974013e-04,3.139955e-04
1.293064e-02,3.422807e-04,3.022188e-04,1.653160e-04,1.775799e-04,2.834446e-04
1.339244e-02,3.113299e-04,2.748039e-04,1.530522e-04,1.632748e-04,2.593653e-04
1.385425e-02,2.827837e-04,2.476079e-04,1.405403e-04,1.468256e-04,2.354411e-04
1.431606e-02,2.598869e-04,2.281541e-04,1.270571e-04,1.336298e-04,2.163370e-04
1.477787e-02,2.292401e-04,2.094664e-04,1.156903e-04,1.216961e-04,1.966446e-04
1.523968e-02,2.143418e-04,1.891530e-04,1.040206e-04,1.095226e-04,1.773839e-04
1.570149e-02,1.924840e-04,1.725672e-04,9.575974e-05,1.001511e-04,1.635853e-04
1.616330e-02,1.731182e-04,1.551732e-04,8.808328e-05,9.123587e-05,1.497642e-04
1.662510e-02,1.599939e-04,1.415770e-04,7.981667e-05,8.284217e-05,1.349727e-04
1.708691e-02,1.423574e-04,1.297554e-04,7.224570e-05,7.522126e-05,1.219778e-04
1.754872e-02,1.320857e-04,1.181666e-04,6.527680e-05,6.852347e-05,1.110104e-04
1.801053e-02,1.177955e-04,1.060101e-04,6.018786e-05,6.218749e-05,1.029511e-04
1.847234e-02,1.083794e-04,9.616196e-05,5.463347e-05,5.566355e-05,9.271346e-05
1.893415e-02,9.702406e-05,8.647945e-05,4.914830e-05,5.053690e-05,8.340171e-05
1.939595e-02,8.684147e-05,7.839183e-05,4.414282e-05,4.537722e-05,7.521178e-05
1.985776e-02,7.735133e-05,7.168219e-05,3.974689e-05,4.131796e-05,6.830035e-05
2.031957e-02,7.048067e-05,6.448269e-05,3.593017e-05,3.715379e-05,6.186845e-05
2.078138e-02,6.316491e-05,5.829857e-05,3.192378e-05,3.408980e-05,5.590433e-05
2.124319e-02,5.673748e-05,5.275878e-05,2.960536e-05,3.033256e-05,5.031039e-05
2.170500e-02,5.078473e-05,4.756017e-05,2.665468e-05,2.724514e-05,4.515068e-05
2.216681e-02,4.552636e-05,4.329880e-05,2.420513e-05,2.484792e-05,4.145375e-05
2.262861e-02,4.101045e-05,3.946709e-05,2.257389e-05,2.271894e-05,3.749540e-05
2.309042e-02,3.728707e-05,3.571523e-05,2.038750e-05,2.033610e-05,3.358127e-05
2.355223e-02,3.417692e-05,3.160759e-05,1.790746e-05,1.855426e-05,3.040158e-05
2.401404e-02,3.064503e-05,2.902963e-05,1.631295e-05,1.655030e-05,2.791789e-05
2.447585e-02,2.737782e-05,2.602240e-05,1.471997e-05,1.467312e-05,2.482943e-05
2.493766e-02,2.514185e-05,2.322650e-05,1.325083e-05,1.334719e-05,2.209613e-05
2.539946e-02,2.294494e-05,2.122261e-05,1.192746e-05,1.200237e-05,2.003635e-05
2.586127e-02,2.086687e-05,1.924685e-05,1.066572e-05,1.088872e-05,1.802815e-05
2.632308e-02,1.804121e-05,1.733724e-05,9.730096e-06,9.885328e-06,1.645837e-05
2.678489e-02,1.661863e-05,1.565516e-05,8.869750e-06,8.887416e-06,1.483057e-05
2.724670e-02,1.480279e-05,1.417541e-05,7.964452e-06,7.940711e-06,1.330041e-05
2.770851e-02,1.354059e-05,1.278128e-05,7.182004e-06,7.135533e-06,1.198681e-05
