k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.430464e-04,4.583688e-04,3.820925e-04,3.300671e-04,4.871748e-04,5.745211e-04
8.860928e-04,7.606389e-04,6.411879e-04,5.523195e-04,8.334115e-04,9.793345e-04
1.329139e-03,9.627988e-04,8.245373e-04,7.021438e-04,1.045930e-03,1.226630e-03
1.772186e-03,1.097748e-03,9.311749e-04,7.846872e-04,1.226468e-03,1.496614e-03
2.215232e-03,1.216799e-03,9.991512e-04,8.714409e-04,1.360471e-03,1.639097e-03
2.658278e-03,1.234582e-03,1.011850e-03,8.870517e-04,1.373613e-03,1.709450e-03
3.101325e-03,1.236865e-03,1.019035e-03,8.841338e-04,1.368933e-03,1.663836e-03
3.544371e-03,1.208511e-03,9.726789e-04,8.753025e-04,1.350550e-03,1.680437e-03
3.987417e-03,1.150735e-03,9.425146e-04,8.388207e-04,1.276574e-03,1.633427e-03
4.430464e-03,1.109649e-03,8.948207e-04,7.884335e-04,1.239875e-03,1.605710e-03
4.873510e-03,1.075555e-03,8.357231e-04,7.462716e-04,1.229235e-03,1.550789e-03
5.316557e-03,1.018941e-03,8.008469e-04,7.127119e-04,1.120592e-03,1.456283e-03
5.759603e-03,9.742759e-04,7.424205e-04,6.525204e-04,1.048738e-03,1.396176e-03
6.202649e-03,9.058201e-04,6.881332e-04,6.088087e-04,9.845165e-04,1.301153e-03
6.645696e-03,8.430352e-04,6.454465e-04,5.624048e-04,9.349352e-04,1.235169e-03
7.088742e-03,7.861448e-04,5.923401e-04,5.317954e-04,8.716610e-04,1.168444e-03
7.531789e-03,7.283839e-04,5.463919e-04,4.891879e-04,8.108516e-04,1.071005e-03
7.974835e-03,6.772813e-04,4.993894e-04,4.506831e-04,7.350840e-04,1.014251e-03
8.417881e-03,6.253732e-04,4.613174e-04,4.114490e-04,6.918876e-04,9.451350e-04
8.860928e-03,5.775028e-04,4.221934e-04,3.797854e-04,6.289279e-04,9.104535e-04
9.303974e-03,5.377790e-04,3.911090e-04,3.530259e-04,5.843203e-04,8.272655e-04
9.747021e-03,5.122714e-04,3.672081e-04,3.305007e-04,5.487124e-04,7.786183e-04
1.019007e-02,4.699506e-04,3.365851e-04,2.981335e-04,5.098829e-04,7.113179e-04
1.063311e-02,4.326213e-04,3.054563e-04,2.771452e-04,4.703812e-04,6.691503e-04
1.107616e-02,3.976064e-04,2.876630e-04,2.564137e-04,4.334175e-04,6.361579e-04
1.151921e-02,3.669696e-04,2.589062e-04,2.356891e-04,3.951359e-04,5.939997e-04
1.196225e-02,3.470059e-04,2.383738e-04,2.184582e-04,3.621585e-04,5.384510e-04
