k_s_per_km,kPk_pi_p1_0,kPk_pi_p1_1,kPk_pi_p1_2,kPk_pi_p1_n1,kPk_pi_p1_n2
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.729161e-03,1.035478e+01,1.164869e+00,2.438137e+00,3.690907e+00,1.803608e+03
3.458321e-03,2.085269e+01,2.225454e+00,4.826319e+00,7.195475e+00,3.605104e+03
5.187482e-03,3.040762e+01,3.093782e+00,6.824236e+00,1.047280e+01,5.401242e+03
6.916643e-03,3.915321e+01,3.811929e+00,8.632877e+00,1.345603e+01,7.188978e+03
8.645803e-03,4.763660e+01,4.444601e+00,1.000793e+01,1.610784e+01,8.970250e+03
1.037496e-02,5.433389e+01,4.887234e+00,1.110573e+01,1.859945e+01,1.073278e+04
1.210412e-02,6.063298e+01,5.223060e+00,1.210132e+01,2.075178e+01,1.248816e+04
1.383329e-02,6.651677e+01,5.634803e+00,1.276272e+01,2.259557e+01,1.421822e+04
1.556245e-02,7.039672e+01,5.824358e+00,1.309313e+01,2.413694e+01,1.593349e+04
1.729161e-02,7.466888e+01,5.933892e+00,1.324678e+01,2.550490e+01,1.762772e+04
1.902077e-02,7.777277e+01,5.961419e+00,1.334779e+01,2.702314e+01,1.929264e+04
2.074993e-02,7.936477e+01,5.965677e+00,1.318392e+01,2.836753e+01,2.094472e+04
2.247909e-02,8.186734e+01,5.903891e+00,1.297119e+01,2.908422e+01,2.254980e+04
2.420825e-02,8.157435e+01,5.946627e+00,1.265369e+01,2.962086e+01,2.413989e+04
2.593741e-02,8.074996e+01,5.720391e+00,1.240994e+01,3.007789e+01,2.569047e+04
2.766657e-02,8.190405e+01,5.561675e+00,1.211287e+01,3.033756e+01,2.720938e+04
2.939573e-02,7.928094e+01,5.402042e+00,1.150962e+01,3.047204e+01,2.870167e+04
3.112489e-02,7.968929e+01,5.201984e+00,1.089686e+01,3.067259e+01,3.014233e+04
3.285405e-02,7.732326e+01,5.000288e+00,1.023697e+01,3.053023e+01,3.156494e+04
3.458321e-02,7.507283e+01,4.851194e+00,9.955011e+00,3.013716e+01,3.292863e+04
3.631237e-02,7.467888e+01,4.480549e+00,9.586203e+00,2.961767e+01,3.426534e+04
3.804154e-02,7.183736e+01,4.322627e+00,8.907552e+00,2.893291e+01,3.556007e+04
3.977070e-02,6.918441e+01,4.162387e+00,8.738065e+00,2.836335e+01,3.680688e+04
4.149986e-02,6.678558e+01,3.869393e+00,8.430849e+00,2.791834e+01,3.803049e+04
4.322902e-02,6.442646e+01,3.676295e+00,8.006243e+00,2.738848e+01,3.918476e+04
4.495818e-02,6.215745e+01,3.524021e+00,7.840897e+00,2.671095e+01,4.031839e+04
4.668734e-02,5.965684e+01,3.292827e+00,7.640259e+00,2.595535e+01,4.139636e+04
4.841650e-02,5.635169e+01,3.030387e+00,7.458189e+00,2.531390e+01,4.243628e+04
5.014566e-02,5.603728e+01,2.916176e+00,7.349267e+00,2.458411e+01,4.344130e+04
5.187482e-02,5.307684e+01,2.808417e+00,7.360998e+00,2.382139e+01,4.438842e+04
5.360398e-02,5.330838e+01,2.674598e+00,7.349827e+00,2.290201e+01,4.531535e+04
5.533314e-02,5.080487e+01,2.476395e+00,7.423431e+00,2.185672e+01,4.617812e+04
5.706230e-02,4.934580e+01,2.406493e+00,7.519996e+00,2.111894e+01,4.701589e+04
5.879146e-02,5.000080e+01,2.259252e+00,7.835799e+00,2.025060e+01,4.781095e+04
6.052062e-02,4.828727e+01,2.177219e+00,8.247049e+00,1.947370e+01,4.856402e+04
6.224978e-02,4.873211e+01,2.059607e+00,8.707309e+00,1.854557e+01,4.929467e+04
6.397895e-02,4.879123e+01,1.976989e+00,9.378690e+00,1.766241e+01,4.996891e+04
6.570811e-02,4.801618e+01,1.880747e+00,1.019790e+01,1.722982e+01,5.062710e+04
6.743727e-02,4.802257e+01,1.826572e+00,1.111954e+01,1.649504e+01,5.124176e+04
6.916643e-02,4.941946e+01,1.744784e+00,1.234228e+01,1.573486e+01,5.183134e+04
7.089559e-02,5.017418e+01,1.699357e+00,1.350730e+01,1.517895e+01,5.239582e+04
7.262475e-02,5.092309e+01,1.674803e+00,1.492718e+01,1.459286e+01,5.292577e+04
