k_s_per_km,kPk_pi_p1_1,kPk_pi_p2_1,kPk_pi_p7_1,kPk_pi_p8_1,kPk_pi_p9_1
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.263847e-04,3.251859e-04,3.677231e-04,5.398844e-04,5.506005e-04,3.863109e-04
8.527694e-04,5.477444e-04,6.217002e-04,9.534451e-04,9.449183e-04,6.587813e-04
1.279154e-03,6.964687e-04,8.038516e-04,1.223350e-03,1.192674e-03,8.410616e-04
1.705539e-03,7.877621e-04,9.151335e-04,1.395758e-03,1.363374e-03,9.476797e-04
2.131923e-03,8.621014e-04,9.863692e-04,1.547091e-03,1.496059e-03,1.027819e-03
2.558308e-03,8.848577e-04,1.008984e-03,1.576547e-03,1.537048e-03,1.058244e-03
2.984693e-03,8.854697e-04,1.017143e-03,1.576859e-03,1.530102e-03,1.056262e-03
3.411077e-03,8.482542e-04,9.866255e-04,1.544759e-03,1.491231e-03,1.019945e-03
3.837462e-03,8.263666e-04,9.527241e-04,1.483711e-03,1.429567e-03,9.823199e-04
4.263847e-03,7.749154e-04,9.127570e-04,1.423868e-03,1.379290e-03,9.354886e-04
4.690232e-03,7.332283e-04,8.601705e-04,1.366848e-03,1.318783e-03,8.870813e-04
5.116616e-03,7.050564e-04,8.165860e-04,1.304287e-03,1.247148e-03,8.434057e-04
5.543001e-03,6.644785e-04,7.709847e-04,1.240349e-03,1.186410e-03,7.971195e-04
5.969386e-03,6.236890e-04,7.167154e-04,1.159718e-03,1.121938e-03,7.430333e-04
6.395770e-03,5.734696e-04,6.695264e-04,1.074600e-03,1.040531e-03,6.885744e-04
6.822155e-03,5.438403e-04,6.242950e-04,1.008489e-03,9.687324e-04,6.457708e-04
7.248540e-03,5.016091e-04,5.757675e-04,9.375422e-04,9.093467e-04,6.088470e-04
7.674924e-03,4.575292e-04,5.312068e-04,8.632453e-04,8.403049e-04,5.657304e-04
8.101309e-03,4.176614e-04,4.885212e-04,8.023130e-04,7.772439e-04,5.190460e-04
8.527694e-03,3.871643e-04,4.516201e-04,7.341376e-04,7.092193e-04,4.728647e-04
8.954078e-03,3.593522e-04,4.156579e-04,6.713596e-04,6.511017e-04,4.352035e-04
9.380463e-03,3.347519e-04,3.869827e-04,6.238046e-04,6.100035e-04,4.065214e-04
9.806848e-03,3.086645e-04,3.630730e-04,5.846592e-04,5.657431e-04,3.790751e-04
1.023323e-02,2.735324e-04,3.335526e-04,5.403187e-04,5.209516e-04,3.508899e-04
1.065962e-02,2.554920e-04,3.043916e-04,4.941608e-04,4.772976e-04,3.126126e-04
1.108600e-02,2.404683e-04,2.870243e-04,4.516607e-04,4.404725e-04,2.893407e-04
1.151239e-02,2.195888e-04,2.593488e-04,4.183580e-04,4.037562e-04,2.683142e-04
1.193877e-02,2.057294e-04,2.394620e-04,3.924224e-04,3.785125e-04,2.505841e-04
1.236516e-02,1.852366e-04,2.225463e-04,3.580079e-04,3.476197e-04,2.290899e-04
1.279154e-02,1.709972e-04,2.051412e-04,3.230334e-04,3.187343e-04,2.086286e-04
1.321793e-02,1.600580e-04,1.899614e-04,2.973606e-04,2.887199e-04,1.913081e-04
1.364431e-02,1.434786e-04,1.701217e-04,2.741268e-04,2.678484e-04,1.764299e-04
1.407069e-02,1.323551e-04,1.569421e-04,2.480952e-04,2.453542e-04,1.618841e-04
1.449708e-02,1.208332e-04,1.445469e-04,2.295537e-04,2.247821e-04,1.488775e-04
1.492346e-02,1.116382e-04,1.320173e-04,2.088137e-04,2.036806e-04,1.347861e-04
1.534985e-02,1.027753e-04,1.188931e-04,1.898537e-04,1.853941e-04,1.229312e-04
1.577623e-02,9.355192e-05,1.081273e-04,1.751967e-04,1.712135e-04,1.124570e-04
1.620262e-02,8.603062e-05,9.805261e-05,1.597998e-04,1.558133e-04,1.023647e-04
1.662900e-02,7.786351e-05,8.964218e-05,1.452153e-04,1.418437e-04,9.329512e-05
1.705539e-02,7.096994e-05,8.241712e-05,1.325254e-04,1.301489e-04,8.501431e-05
1.748177e-02,6.562974e-05,7.520271e-05,1.210464e-04,1.186805e-04,7.725751e-05
1.790816e-02,5.993342e-05,6.824564e-05,1.111154e-04,1.083589e-04,7.073116e-05
1.833454e-02,5.441719e-05,6.133873e-05,1.017390e-04,9.932640e-05,6.494294e-05
1.876093e-02,4.940918e-05,5.586085e-05,9.254972e-05,9.066499e-05,5.881150e-05
1.918731e-02,4.542011e-05,5.150480e-05,8.361310e-05,8.227501e-05,5.360687e-05
1.961370e-02,4.132218e-05,4.728491e-05,7.616131e-05,7.573065e-05,4.909595e-05
2.004008e-02,3.736741e-05,4.265925e-05,6.972161e-05,6.805772e-05,4.357908e-05
2.046646e-02,3.412633e-05,3.854445e-05,6.315317e-05,6.172788e-05,3.945015e-05
2.089285e-02,3.032416e-05,3.507109e-05,5.794462e-05,5.604474e-05,3.629844e-05
2.131923e-02,2.831434e-05,3.180135e-05,5.216628e-05,5.176267e-05,3.287771e-05
2.174562e-02,2.571957e-05,2.940455e-05,4.768029e-05,4.699714e-05,3.027180e-05
2.217200e-02,2.333431e-05,2.592072e-05,4.324686e-05,4.365796e-05,2.729823e-05
2.259839e-02,2.121854e-05,2.414910e-05,3.971882e-05,3.995024e-05,2.542118e-05
2.302477e-02,1.961052e-05,2.203254e-05,3.656012e-05,3.610223e-05,2.291105e-05
2.345116e-02,1.779103e-05,2.028903e-05,3.266665e-05,3.245700e-05,2.068790e-05
2.387754e-02,1.626072e-05,1.828304e-05,2.947462e-05,2.993842e-05,1.895339e-05
2.430393e-02,1.449615e-05,1.675551e-05,2.718934e-05,2.713568e-05,1.726179e-05
2.473031e-02,1.320891e-05,1.533704e-05,2.478502e-05,2.493692e-05,1.551141e-05
2.515670e-02,1.215581e-05,1.406362e-05,2.254671e-05,2.265672e-05,1.409261e-05
2.558308e-02,1.117524e-05,1.248883e-05,2.035261e-05,2.054067e-05,1.278468e-05
2.600947e-02,1.018633e-05,1.142644e-05,1.835975e-05,1.863566e-05,1.159037e-05
2.643585e-02,9.092166e-06,1.049678e-05,1.705767e-05,1.691486e-05,1.059332e-05
2.686224e-02,8.237044e-06,9.568619e-06,1.562668e-05,1.542491e-05,9.641123e-06
2.728862e-02,7.568490e-06,8.664943e-06,1.414965e-05,1.406936e-05,8.803383e-06
2.771500e-02,6.922025e-06,7.895848e-06,1.284718e-05,1.289388e-05,8.051771e-06
