k_s_per_km,kPk_pi_p1_n2,kPk_pi_p2_n2,kPk_pi_p7_n2,kPk_pi_p8_n2,kPk_pi_p9_n2
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.829985e-04,6.869526e-04,6.110255e-04,1.956951e-04,2.155493e-04,5.357954e-04
9.659969e-04,1.184178e-03,1.023935e-03,3.066922e-04,3.606521e-04,9.067861e-04
1.448995e-03,1.440544e-03,1.299668e-03,3.895921e-04,4.600814e-04,1.145643e-03
1.931994e-03,1.732921e-03,1.548008e-03,4.437467e-04,5.322407e-04,1.321227e-03
2.414992e-03,1.894722e-03,1.670818e-03,4.771423e-04,5.748031e-04,1.406288e-03
2.897991e-03,1.971495e-03,1.684770e-03,4.832790e-04,5.795356e-04,1.413007e-03
3.380989e-03,1.933944e-03,1.674315e-03,4.747314e-04,5.743030e-04,1.402888e-03
3.863988e-03,1.999144e-03,1.646524e-03,4.584479e-04,5.499164e-04,1.358014e-03
4.346986e-03,1.910470e-03,1.610932e-03,4.350674e-04,5.223702e-04,1.288394e-03
4.829985e-03,1.877518e-03,1.556184e-03,4.171781e-04,4.968723e-04,1.252907e-03
5.312983e-03,1.801198e-03,1.457046e-03,3.964315e-04,4.624979e-04,1.190599e-03
5.795981e-03,1.700557e-03,1.388374e-03,3.684746e-04,4.307520e-04,1.107135e-03
6.278980e-03,1.629686e-03,1.289785e-03,3.352572e-04,4.061876e-04,1.051332e-03
6.761978e-03,1.490440e-03,1.217656e-03,3.134384e-04,3.710272e-04,9.601685e-04
7.244977e-03,1.438124e-03,1.134083e-03,2.910023e-04,3.445903e-04,9.007384e-04
7.727975e-03,1.318607e-03,1.045874e-03,2.688373e-04,3.120118e-04,8.204841e-04
8.210974e-03,1.210705e-03,9.774129e-04,2.453931e-04,2.857784e-04,7.563560e-04
8.693972e-03,1.131041e-03,9.235227e-04,2.224470e-04,2.594298e-04,6.881619e-04
9.176971e-03,1.031906e-03,8.511120e-04,2.046468e-04,2.374268e-04,6.303732e-04
9.659969e-03,9.807241e-04,7.881768e-04,1.926276e-04,2.194014e-04,5.965831e-04
1.014297e-02,8.873835e-04,7.184725e-04,1.754707e-04,1.996658e-04,5.437731e-04
1.062597e-02,8.196814e-04,6.698299e-04,1.556029e-04,1.822784e-04,5.006001e-04
1.110896e-02,7.375117e-04,6.330369e-04,1.434987e-04,1.685347e-04,4.623883e-04
1.159196e-02,6.740248e-04,5.848783e-04,1.312607e-04,1.520110e-04,4.274685e-04
1.207496e-02,5.990491e-04,5.304287e-04,1.203661e-04,1.396219e-04,3.891966e-04
1.255796e-02,5.456334e-04,4.942828e-04,1.097773e-04,1.264331e-04,3.524898e-04
1.304096e-02,5.053928e-04,4.543109e-04,9.835495e-05,1.148878e-04,3.203999e-04
1.352396e-02,4.578876e-04,4.150996e-04,9.057660e-05,1.044696e-04,2.896706e-04
1.400696e-02,4.149987e-04,3.810311e-04,8.257676e-05,9.389260e-05,2.617215e-04
1.448995e-02,3.698744e-04,3.489315e-04,7.454403e-05,8.574913e-05,2.403452e-04
1.497295e-02,3.454605e-04,3.226186e-04,6.649648e-05,7.801926e-05,2.143820e-04
1.545595e-02,3.130931e-04,2.932712e-04,6.048304e-05,7.001996e-05,1.952894e-04
1.593895e-02,2.817467e-04,2.717825e-04,5.576884e-05,6.423978e-05,1.812007e-04
1.642195e-02,2.504199e-04,2.420445e-04,5.015132e-05,5.671278e-05,1.600838e-04
1.690495e-02,2.249331e-04,2.242903e-04,4.572280e-05,5.245869e-05,1.469434e-04
1.738794e-02,2.043418e-04,2.027818e-04,4.122806e-05,4.727576e-05,1.327181e-04
1.787094e-02,1.858683e-04,1.857086e-04,3.730796e-05,4.351441e-05,1.225688e-04
1.835394e-02,1.683775e-04,1.695642e-04,3.428976e-05,3.870404e-05,1.103718e-04
1.883694e-02,1.526148e-04,1.539827e-04,3.063273e-05,3.459135e-05,9.859699e-05
1.931994e-02,1.381385e-04,1.386293e-04,2.775556e-05,3.115522e-05,8.924104e-05
1.980294e-02,1.251665e-04,1.269393e-04,2.498236e-05,2.816461e-05,8.096191e-05
2.028594e-02,1.133675e-04,1.156849e-04,2.237809e-05,2.561879e-05,7.302043e-05
2.076893e-02,1.034560e-04,1.030426e-04,2.011947e-05,2.283857e-05,6.621641e-05
2.125193e-02,9.495798e-05,9.471946e-05,1.848681e-05,2.045744e-05,5.946727e-05
2.173493e-02,8.556689e-05,8.537391e-05,1.645141e-05,1.819809e-05,5.310406e-05
2.221793e-02,7.726619e-05,7.885606e-05,1.491745e-05,1.645162e-05,4.752423e-05
2.270093e-02,6.943485e-05,7.022589e-05,1.374045e-05,1.494686e-05,4.293388e-05
2.318393e-02,6.256618e-05,6.450118e-05,1.239286e-05,1.318563e-05,3.860674e-05
2.366692e-02,5.657490e-05,5.851390e-05,1.101039e-05,1.185186e-05,3.491132e-05
2.414992e-02,5.098410e-05,5.250799e-05,9.965038e-06,1.047840e-05,3.148605e-05
2.463292e-02,4.653851e-05,4.749237e-05,8.951985e-06,9.433015e-06,2.831220e-05
2.511592e-02,4.209326e-05,4.293665e-05,8.015210e-06,8.464814e-06,2.560056e-05
2.559892e-02,3.839579e-05,3.836069e-05,7.191137e-06,7.741830e-06,2.300275e-05
2.608192e-02,3.459175e-05,3.467966e-05,6.542169e-06,6.890114e-06,2.061388e-05
2.656491e-02,3.126802e-05,3.162011e-05,5.916303e-06,6.095830e-06,1.874295e-05
2.704791e-02,2.897280e-05,2.817642e-05,5.332706e-06,5.477876e-06,1.693539e-05
2.753091e-02,2.583626e-05,2.533348e-05,4.770161e-06,4.908913e-06,1.488299e-05
2.801391e-02,2.361425e-05,2.323675e-05,4.376890e-06,4.373854e-06,1.352610e-05
2.849691e-02,2.125822e-05,2.109409e-05,3.950415e-06,3.979925e-06,1.220445e-05
2.897991e-02,1.946399e-05,1.884229e-05,3.598116e-06,3.609325e-06,1.095604e-05
2.946291e-02,1.764452e-05,1.672422e-05,3.255882e-06,3.206267e-06,9.775165e-06
2.994590e-02,1.638209e-05,1.523276e-05,2.883338e-06,2.854548e-06,8.825749e-06
3.042890e-02,1.490629e-05,1.364593e-05,2.579205e-06,2.607814e-06,7.964257e-06
3.091190e-02,1.343745e-05,1.230362e-05,2.321679e-06,2.325059e-06,7.104529e-06
3.139490e-02,1.230026e-05,1.111455e-05,2.126608e-06,2.090008e-06,6.488329e-06
3.187790e-02,1.099582e-05,1.008816e-05,1.892355e-06,1.851787e-06,5.910414e-06
3.236090e-02,9.929889e-06,9.070078e-06,1.726040e-06,1.688633e-06,5.246575e-06
3.284389e-02,9.059613e-06,8.193362e-06,1.559519e-06,1.534410e-06,4.709326e-06
3.332689e-02,8.081447e-06,7.346991e-06,1.378869e-06,1.370272e-06,4.276662e-06
3.380989e-02,7.353334e-06,6.699596e-06,1.242351e-06,1.241963e-06,3.920548e-06
3.429289e-02,6.772171e-06,6.063782e-06,1.139093e-06,1.098547e-06,3.471091e-06
3.477589e-02,6.086076e-06,5.455681e-06,1.042236e-06,1.003884e-06,3.118992e-06
3.525889e-02,5.429241e-06,4.867948e-06,9.374629e-07,9.164264e-07,2.804755e-06
3.574189e-02,5.088918e-06,4.436618e-06,8.544219e-07,8.276878e-07,2.555240e-06
3.622488e-02,4.558208e-06,3.974914e-06,7.706107e-07,7.446338e-07,2.302767e-06
3.670788e-02,4.151390e-06,3.535330e-06,6.958636e-07,6.636740e-07,2.093887e-06
3.719088e-02,3.846632e-06,3.222742e-06,6.353362e-07,6.030978e-07,1.917316e-06
3.767388e-02,3.465595e-06,2.906911e-06,5.895992e-07,5.420236e-07,1.751530e-06
3.815688e-02,3.192442e-06,2.589137e-06,5.270579e-07,4.941413e-07,1.607540e-06
3.863988e-02,2.835702e-06,2.381711e-06,4.790479e-07,4.421689e-07,1.452642e-06
3.912287e-02,2.593428e-06,2.131353e-06,4.327518e-07,4.065892e-07,1.324001e-06
3.960587e-02,2.342098e-06,1.920086e-06,3.945687e-07,3.708960e-07,1.216238e-06
4.008887e-02,2.146056e-06,1.739850e-06,3.573002e-07,3.365096e-07,1.112910e-06
4.057187e-02,1.945153e-06,1.579087e-06,3.283108e-07,3.060497e-07,1.007253e-06
4.105487e-02,1.763661e-06,1.434148e-06,2.983306e-07,2.836829e-07,9.163573e-07
4.153787e-02,1.597628e-06,1.293022e-06,2.733817e-07,2.604271e-07,8.411732e-07
4.202087e-02,1.455024e-06,1.166584e-06,2.508296e-07,2.384009e-07,7.675778e-07
4.250386e-02,1.303434e-06,1.051206e-06,2.291314e-07,2.188306e-07,6.783940e-07
4.298686e-02,1.182947e-06,9.647756e-07,2.148753e-07,1.959958e-07,6.234529e-07
4.346986e-02,1.065363e-06,8.749612e-07,1.962420e-07,1.776547e-07,5.610666e-07
4.395286e-02,9.836960e-07,7.842146e-07,1.806857e-07,1.625954e-07,5.209831e-07
4.443586e-02,8.959930e-07,7.198198e-07,1.641347e-07,1.460576e-07,4.698777e-07
4.491886e-02,8.093422e-07,6.438614e-07,1.497556e-07,1.343206e-07,4.301290e-07
4.540185e-02,7.456832e-07,5.831498e-07,1.357875e-07,1.230936e-07,3.978872e-07
4.588485e-02,6.803099e-07,5.342507e-07,1.241826e-07,1.115383e-07,3.690351e-07
4.636785e-02,6.199399e-07,4.885550e-07,1.136488e-07,1.043789e-07,3.378639e-07
4.685085e-02,5.617919e-07,4.499012e-07,1.036897e-07,9.892256e-08,3.101887e-07
4.733385e-02,5.172273e-07,4.119405e-07,9.639180e-08,9.334604e-08,2.936223e-07
4.781685e-02,4.713287e-07,3.740578e-07,9.147877e-08,8.836611e-08,2.675297e-07
4.829985e-02,4.312152e-07,3.445218e-07,8.539772e-08,8.245794e-08,2.513962e-07
4.878284e-02,3.982947e-07,3.154386e-07,7.978327e-08,7.803923e-08,2.266216e-07
4.926584e-02,3.595171e-07,2.919342e-07,7.645955e-08,7.243641e-08,2.085676e-07
