k_s_per_km,kPk_pi_0,kPk_pi_1,kPk_pi_2,kPk_pi_n1,kPk_pi_n2
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.430464e-04,4.583688e-04,4.014067e-04,3.482805e-04,4.765760e-04,5.031475e-04
8.860928e-04,7.606389e-04,6.797140e-04,5.848170e-04,8.100282e-04,8.651937e-04
1.329139e-03,9.627988e-04,8.615799e-04,7.341835e-04,1.027998e-03,1.095812e-03
1.772186e-03,1.097748e-03,9.629250e-04,8.189509e-04,1.174806e-03,1.280011e-03
2.215232e-03,1.216799e-03,1.042847e-03,9.066854e-04,1.313713e-03,1.394275e-03
2.658278e-03,1.234582e-03,1.062730e-03,9.107644e-04,1.328817e-03,1.420919e-03
3.101325e-03,1.236865e-03,1.053951e-03,9.146085e-04,1.326184e-03,1.406297e-03
3.544371e-03,1.208511e-03,1.005312e-03,8.745089e-04,1.286692e-03,1.400897e-03
3.987417e-03,1.150735e-03,9.705565e-04,8.434277e-04,1.224469e-03,1.341454e-03
4.430464e-03,1.109649e-03,9.143516e-04,7.734854e-04,1.176188e-03,1.276076e-03
4.873510e-03,1.075555e-03,8.678410e-04,7.494204e-04,1.125005e-03,1.250383e-03
5.316557e-03,1.018941e-03,8.233091e-04,6.896760e-04,1.075755e-03,1.190113e-03
5.759603e-03,9.742759e-04,7.720682e-04,6.568885e-04,1.004387e-03,1.110647e-03
6.202649e-03,9.058201e-04,7.107487e-04,6.157891e-04,9.581093e-04,1.067883e-03
6.645696e-03,8.430352e-04,6.598777e-04,5.609481e-04,8.943540e-04,9.718183e-04
7.088742e-03,7.861448e-04,6.244586e-04,5.184503e-04,8.431259e-04,9.274315e-04
7.531789e-03,7.283839e-04,5.811747e-04,4.741708e-04,7.515900e-04,8.517359e-04
7.974835e-03,6.772813e-04,5.333699e-04,4.323089e-04,7.022372e-04,7.811600e-04
8.417881e-03,6.253732e-04,4.831925e-04,3.993822e-04,6.543382e-04,7.346226e-04
8.860928e-03,5.775028e-04,4.415246e-04,3.600497e-04,5.918150e-04,6.600665e-04
9.303974e-03,5.377790e-04,4.114599e-04,3.396666e-04,5.501595e-04,6.184409e-04
9.747021e-03,5.122714e-04,3.828547e-04,3.114292e-04,5.160060e-04,5.912381e-04
1.019007e-02,4.699506e-04,3.548648e-04,2.924702e-04,4.769493e-04,5.381269e-04
1.063311e-02,4.326213e-04,3.140628e-04,2.589751e-04,4.377348e-04,4.999855e-04
1.107616e-02,3.976064e-04,2.898259e-04,2.362646e-04,4.050779e-04,4.647203e-04
